Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV,881.0237457616611,22.362,United States,757.1287128712871,631,1791.8712871287128,1918,21.011555816232857,8.878122175873054
TV,881.0237457616611,22.362,India,274.15841584158414,71,648.8415841584158,852,150.54559532876365,63.61081492764664
TV,881.0237457616611,22.362,United Kingdom,117.62376237623762,201,278.37623762376234,195,59.10027752775278,24.971948251163123
TV,881.0237457616611,22.362,Japan,66.83168316831683,152,158.16831683168317,73,108.53597946461315,45.86027301321682
TV,881.0237457616611,22.362,South Korea,54.35643564356435,147,128.64356435643563,36,157.89905859438406,66.71791208213409
TV,881.0237457616611,22.362,Canada,52.57425742574257,56,124.42574257425741,121,0.2232216441983183,0.09431900459083795
TV,881.0237457616611,22.362,Spain,39.8019801980198,45,94.1980198019802,89,0.6788458696615941,0.2868362829556023
TV,881.0237457616611,22.362,France,34.15841584158416,46,80.84158415841584,69,4.105082508250825,1.7345419048947146
TV,881.0237457616611,22.362,Egypt,30.0,12,71.0,89,10.8,4.563380281690141
TV,881.0237457616611,22.362,Mexico,29.7029702970297,35,70.29702970297029,65,0.9446369636963704,0.39914237902663435
TV,881.0237457616611,22.362,Turkey,29.7029702970297,27,70.29702970297029,73,0.2459702970297026,0.10393111142100166
TV,881.0237457616611,22.362,Australia,24.356435643564357,45,57.64356435643564,37,17.496679546003378,7.39296318845213
TV,881.0237457616611,22.362,Taiwan,23.168316831683168,68,54.83168316831683,10,86.75122281458914,36.655446259685554
TV,881.0237457616611,22.362,Brazil,21.386138613861384,26,50.61386138613861,46,0.9953978731206465,0.4205906506143564
Movies,1148.9076913250537,22.362,United States,1290.3964253568215,920,1258.6035746431785,1629,106.3188871428984,109.00454653166435
Movies,1148.9076913250537,22.362,India,467.2561398997043,829,455.7438601002957,94,280.0575725946606,287.131943569057
Movies,1148.9076913250537,22.362,United Kingdom,200.46958981612448,101,195.53041018387552,295,49.35511319828235,50.60184392230148
Movies,1148.9076913250537,22.362,Japan,113.90317603188892,61,111.09682396811108,164,24.571273003638414,25.191953597740746
Movies,1148.9076913250537,22.362,South Korea,92.64124983926965,34,90.35875016073035,149,37.11949254438893,38.057146392515435
Movies,1148.9076913250537,22.362,Canada,89.60383181175261,89,87.39616818824739,88,0.004069165899628635,0.004171954725739046
Movies,1148.9076913250537,22.362,Spain,67.83566928121384,87,66.16433071878616,47,5.414136482924357,5.550899826373227
Movies,1148.9076913250537,22.362,France,58.217178860743225,64,56.782821139256775,51,0.5744184273962619,0.588928476213303
Movies,1148.9076913250537,22.362,Egypt,51.129870129870135,89,49.870129870129865,12,28.049097968325796,28.757629870129865
Movies,1148.9076913250537,22.362,Mexico,50.62363379195063,48,49.37636620804937,52,0.13597313662931376,0.13940787471604385
Movies,1148.9076913250537,22.362,Turkey,50.62363379195063,73,49.37636620804937,27,9.890672146027324,10.140514645549372
Movies,1148.9076913250537,22.362,Australia,41.51137970939951,29,40.48862029060049,53,3.7708845942629403,3.866138710315937
Movies,1148.9076913250537,22.362,Taiwan,39.48643435772149,10,38.51356564227851,68,22.01894967916239,22.575157522620405
Movies,1148.9076913250537,22.362,Brazil,36.44901633020445,37,35.55098366979555,35,0.008328976607519549,0.008539370027032412
Action & Adventure,69.57027750749788,22.362,United States,285.1523723800952,262,2263.847627619905,2287,1.8798102304128392,0.2367793398666805
Action & Adventure,69.57027750749788,22.362,India,103.25446830397325,129,819.7455316960268,794,6.419406474108122,0.8085831232769768
Action & Adventure,69.57027750749788,22.362,United Kingdom,44.2998585572843,22,351.70014144271573,374,11.225401341447775,1.4139422567047248
Action & Adventure,69.57027750749788,22.362,Japan,25.17037418027517,46,199.82962581972484,179,17.237459748602117,2.1712161548116193
Action & Adventure,69.57027750749788,22.362,South Korea,20.47190433329047,19,162.52809566670953,164,0.10582808179873134,0.013330017542333256
Action & Adventure,69.57027750749788,22.362,Canada,19.8006943551498,14,157.1993056448502,163,1.6993371241607755,0.2140470968611372
Action & Adventure,69.57027750749788,22.362,Spain,14.990356178474991,5,119.00964382152502,129,6.658095070223147,0.8386481411747687
Action & Adventure,69.57027750749788,22.362,France,12.864857914362865,14,102.13514208563714,101,0.100160263188452,0.01261610380396038
Action & Adventure,69.57027750749788,22.362,Egypt,11.2987012987013,14,89.7012987012987,87,0.6458277354829074,0.08134792672218445
Action & Adventure,69.57027750749788,22.362,Mexico,11.186832969011187,3,88.81316703098882,97,5.991350210390497,0.7546655107919097
Action & Adventure,69.57027750749788,22.362,Turkey,11.186832969011187,8,88.81316703098882,92,0.9078444632640603,0.11435133676556074
Action & Adventure,69.57027750749788,22.362,Australia,9.173203034589173,3,72.82679696541084,79,4.154321621637113,0.5232749110792352
Action & Adventure,69.57027750749788,22.362,Taiwan,8.725729715828725,5,69.27427028417128,73,1.5908196067806857,0.20037832024021893
Action & Adventure,69.57027750749788,22.362,Brazil,8.054519737688056,3,63.945480262311946,69,3.17190479515932,0.3995305012000299
Dramas,624.2623588832857,22.362,United States,920.6816253053877,698,1628.3183746946124,1851,53.85912446357465,30.45295503586575
Dramas,624.2623588832857,22.362,India,333.38138099524235,613,589.6186190047576,310,234.52591101733904,132.6053309274769
Dramas,624.2623588832857,22.362,United Kingdom,143.03253182461103,57,252.967468175389,339,51.74764396416247,29.259084519994417
Dramas,624.2623588832857,22.362,Japan,81.26848399125626,29,143.73151600874374,196,33.61689900648509,19.00762264678273
Dramas,624.2623588832857,22.362,South Korea,66.0983669795551,46,116.90163302044492,137,6.111260742187697,3.4554209792281023
Dramas,624.2623588832857,22.362,Canada,63.93120740645493,39,113.06879259354508,138,9.722405190816335,5.497229505032821
Dramas,624.2623588832857,22.362,Spain,48.399897132570395,44,85.60010286742961,90,0.3999821471557138,0.22615737748800244
Dramas,624.2623588832857,22.362,France,41.53722515108654,48,73.46277484891347,67,1.0055428256419257,0.5685526967045441
Dramas,624.2623588832857,22.362,Egypt,36.480519480519476,44,64.51948051948052,57,1.5499392028405934,0.8763645774515351
Dramas,624.2623588832857,22.362,Mexico,36.11932621833612,27,63.88067378166389,73,2.302426965933129,1.3018352148361816
Dramas,624.2623588832857,22.362,Turkey,36.11932621833612,46,63.88067378166389,54,2.702921803953777,1.5282824773160566
Dramas,624.2623588832857,22.362,Australia,29.617847499035616,31,52.38215250096439,51,0.06449980998734985,0.036469397394216306
Dramas,624.2623588832857,22.362,Taiwan,28.17307445030217,33,49.82692554969783,45,0.8270027576658677,0.4676028072229117
Dramas,624.2623588832857,22.362,Brazil,26.005914877202006,23,45.994085122798,49,0.347441122208137,0.1964497005399868
International,3651.6022324535174,22.362,United States,1191.4124983926963,42,1357.5875016073035,2507,1108.8930939063239,973.1594390027738
International,3651.6022324535174,22.362,India,431.4137842355664,844,491.5862157644336,79,394.58031166168274,346.2818524602165
International,3651.6022324535174,22.362,United Kingdom,185.09193776520507,163,210.9080622347949,233,2.6368177896587026,2.314059069389041
International,3651.6022324535174,22.362,Japan,105.16587373023016,177,119.83412626976983,48,49.06669353765796,43.06070280284564
International,3651.6022324535174,22.362,South Korea,85.53491063392053,171,97.46508936607945,12,85.39532509262125,74.9425414562236
International,3651.6022324535174,22.362,Canada,82.73048733444773,43,94.26951266555226,134,19.080168323575712,16.744667275759966
International,3651.6022324535174,22.362,Spain,62.63212035489263,126,71.36787964510737,8,64.11228213197697,56.264641610269486
International,3651.6022324535174,22.362,France,53.75144657322875,93,61.248553426771245,22,28.658743983670718,25.15078087412917
International,3651.6022324535174,22.362,Egypt,47.20779220779221,99,53.79220779220779,2,56.82182246914021,49.86656800466554
