Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV-MA,311.715561194877,22.362,United States,937.7252153786807,879,1611.2747846213194,1670,3.6776774951922007,2.14032451459415
TV-MA,311.715561194877,22.362,India,339.55291243410056,228,583.4470875658996,695,36.64834497611683,21.328501826010992
TV-MA,311.715561194877,22.362,United Kingdom,145.68033946251768,167,250.31966053748235,229,3.120036149767671,1.8157899561605633
TV-MA,311.715561194877,22.362,Japan,82.77292014915777,82,142.22707985084224,143,0.00721740342007431,0.0042003643581838565
TV-MA,311.715561194877,22.362,South Korea,67.32197505464832,83,115.6780249453517,100,3.651117870317116,2.1248674180181624
TV-MA,311.715561194877,22.362,Canada,65.11469718400411,60,111.8853028159959,117,0.40175457178484797,0.23381200770472813
TV-MA,311.715561194877,22.362,Spain,49.29587244438729,109,84.70412755561271,25,72.30996573188203,42.082752636068854
TV-MA,311.715561194877,22.362,France,42.306159187347305,75,72.6938408126527,40,25.26552274220043,14.703958617867256
TV-MA,311.715561194877,22.362,Egypt,37.15584415584416,28,63.84415584415585,73,2.25615873116747,1.313032980038674
TV-MA,311.715561194877,22.362,Mexico,36.787964510736785,69,63.212035489263215,31,28.205290620488633,16.41483654703376
TV-MA,311.715561194877,22.362,Turkey,36.787964510736785,50,63.212035489263215,50,4.744972549883942,2.761465920508128
TV-MA,311.715561194877,22.362,Australia,30.166130898804166,34,51.83386910119584,48,0.4872534808793403,0.2835704248974359
TV-MA,311.715561194877,22.362,Taiwan,28.694612318374695,32,49.30538768162531,46,0.3807539758550448,0.22159013932491614
TV-MA,311.715561194877,22.362,Brazil,26.487334447730486,47,45.51266555226952,25,15.885684869106075,9.245106674229556
R,279.69583045597403,22.362,United States,217.96129612961295,364,2331.038703870387,2185,97.84903745231952,9.14927023422279
R,279.69583045597403,22.362,India,78.92439243924392,2,844.0756075607561,921,74.97507385567775,7.010464582961987
R,279.69583045597403,22.362,United Kingdom,33.86138613861386,31,362.13861386138615,365,0.2417954953390073,0.022608830764966118
R,279.69583045597403,22.362,Japan,19.23942394239424,0,205.76057605760576,225,19.23942394239424,1.7989618843774142
R,279.69583045597403,22.362,South Korea,15.648064806480647,0,167.35193519351935,183,15.648064806480647,1.4631556659602967
R,279.69583045597403,22.362,Canada,15.135013501350134,16,161.86498649864987,161,0.04943514868882087,0.00462238102897443
R,279.69583045597403,22.362,Spain,11.458145814581458,2,122.54185418541854,132,7.807242436733854,0.7300079050095629
R,279.69583045597403,22.362,France,9.833483348334832,2,105.16651665166518,113,6.240256803712406,0.5834885790872807
R,279.69583045597403,22.362,Egypt,8.636363636363637,0,92.36363636363637,101,8.636363636363637,0.8075340014316372
R,279.69583045597403,22.362,Mexico,8.55085508550855,4,91.44914491449146,96,2.4220129802453925,0.22646774913711779
R,279.69583045597403,22.362,Turkey,8.55085508550855,0,91.44914491449146,100,8.55085508550855,0.7995386152788494
R,279.69583045597403,22.362,Australia,7.0117011701170116,4,74.98829882988299,78,1.293601041747307,0.12095679032086003
R,279.69583045597403,22.362,Taiwan,6.66966696669667,0,71.33033303330333,78,6.66966696669667,0.623640119917503
R,279.69583045597403,22.362,Brazil,6.156615661566156,0,65.84338433843385,72,6.156615661566156,0.5756678030007711
PG-13,183.98113357475836,22.362,United States,126.51588015944452,227,2422.484119840555,2322,79.80862424073617,4.168059661334595
PG-13,183.98113357475836,22.362,India,45.81175260383181,4,877.1882473961681,919,38.16100796060377,1.9929845856843624
PG-13,183.98113357475836,22.362,United Kingdom,19.654879773691654,7,376.3451202263083,389,8.147899347669776,0.4255295830334927
PG-13,183.98113357475836,22.362,Japan,11.167545325961168,3,213.83245467403881,222,5.973452061712464,0.31196759515911526
PG-13,183.98113357475836,22.362,South Korea,9.082936865115084,0,173.9170631348849,183,9.082936865115084,0.47436255309625713
PG-13,183.98113357475836,22.362,Canada,8.785135656422785,3,168.2148643435772,174,3.809593371360872,0.19895860388923045
PG-13,183.98113357475836,22.362,Spain,6.650893660794651,1,127.34910633920535,133,4.801249395076609,0.25074851393580994
PG-13,183.98113357475836,22.362,France,5.7078564999357075,1,109.29214350006428,114,3.8830536164033806,0.20279511513079557
PG-13,183.98113357475836,22.362,Egypt,5.012987012987013,0,95.98701298701299,101,5.012987012987013,0.2618066549875505
PG-13,183.98113357475836,22.362,Mexico,4.963353478204963,1,95.03664652179503,99,3.164830162142787,0.165285406925601
PG-13,183.98113357475836,22.362,Turkey,4.963353478204963,0,95.03664652179503,100,4.963353478204963,0.2592145098886642
PG-13,183.98113357475836,22.362,Australia,4.06994985212807,1,77.93005014787192,81,2.315653125222977,0.12093655883318531
PG-13,183.98113357475836,22.362,Taiwan,3.8714157129998714,0,74.12858428700012,78,3.8714157129998714,0.2021873177131585
PG-13,183.98113357475836,22.362,Brazil,3.5736145043075735,1,68.42638549569243,71,1.8534432319989955,0.09679733291186723
TV-14,859.2547522043217,22.362,United States,631.923878102096,376,1917.0761218979042,2173,103.64702720132777,34.16506555721658
TV-14,859.2547522043217,22.362,India,228.82139642535682,520,694.1786035746431,403,370.52906985180755,122.13712543584971
TV-14,859.2547522043217,22.362,United Kingdom,98.17256011315418,68,297.8274398868458,328,9.273297780281883,3.0567478407220876
TV-14,859.2547522043217,22.362,Japan,55.77986370065578,76,169.2201362993442,149,7.329776102684363,2.4161067406352257
TV-14,859.2547522043217,22.362,South Korea,45.36762247653337,70,137.63237752346663,113,13.374163981646396,4.4085122510880925
TV-14,859.2547522043217,22.362,Canada,43.88015944451588,23,133.11984055548413,154,9.935721837558056,3.275102017919628
TV-14,859.2547522043217,22.362,Spain,33.22000771505722,12,100.77999228494278,122,13.554744817924627,4.4680369309213
TV-14,859.2547522043217,22.362,France,28.509708113668513,18,86.49029188633149,97,3.874257996403492,1.2770677751865154
TV-14,859.2547522043217,22.362,Egypt,25.03896103896104,69,75.96103896103897,32,77.18263323813115,25.441633934538707
TV-14,859.2547522043217,22.362,Mexico,24.79105053362479,13,75.2089494663752,87,5.608026674703629,1.8485682046210652
TV-14,859.2547522043217,22.362,Turkey,24.79105053362479,36,75.2089494663752,64,5.067979994205705,1.670553159314171
TV-14,859.2547522043217,22.362,Australia,20.32866143757233,12,61.67133856242767,70,3.4122562154288207,1.1247785917843678
TV-14,859.2547522043217,22.362,Taiwan,19.33701941622734,38,58.662980583772665,40,18.0124370138441,5.937421535765334
TV-14,859.2547522043217,22.362,Brazil,17.84955638420985,8,54.15044361579015,64,5.435079666828569,1.7915598559831551
TV-PG,86.68989170782217,22.362,United States,263.52012344091554,239,2285.4798765590845,2310,2.28155802944795,0.26306792710112603
TV-PG,86.68989170782217,22.362,India,95.42137070849942,133,827.5786292915005,790,14.799131147905854,1.7063676241096057
TV-PG,86.68989170782217,22.362,United Kingdom,40.93917963224894,74,355.06082036775103,322,26.698577089407596,3.078396096355037
TV-PG,86.68989170782217,22.362,Japan,23.26089751832326,39,201.73910248167672,186,10.649603985984951,1.2279193467276475
TV-PG,86.68989170782217,22.362,South Korea,18.918863314902918,15,164.08113668509708,168,0.8117554117955047,0.0935969240045299
TV-PG,86.68989170782217,22.362,Canada,18.2985727144143,22,158.7014272855857,155,0.7487230924675353,0.08632917916877966
TV-PG,86.68989170782217,22.362,Spain,13.853156744245853,5,120.14684325575415,129,5.657799574868857,0.6523549201483665
TV-PG,86.68989170782217,22.362,France,11.888903176031889,3,103.11109682396811,112,6.645911612112356,0.7662860943838139
TV-PG,86.68989170782217,22.362,Egypt,10.441558441558442,4,90.55844155844156,97,3.973896750016153,0.4581977609368976
TV-PG,86.68989170782217,22.362,Mexico,10.338176674810338,5,89.66182332518966,95,2.756398067845164,0.3178178755983816
TV-PG,86.68989170782217,22.362,Turkey,10.338176674810338,10,89.66182332518966,90,0.011062246949641653,0.001275497855659268
TV-PG,86.68989170782217,22.362,Australia,8.477304873344478,13,73.52269512665552,69,2.412886113485236,0.2782103019133986
TV-PG,86.68989170782217,22.362,Taiwan,8.063777806352064,8,69.93622219364794,70,0.0005044296458512574,5.816168582595884e-05
TV-PG,86.68989170782217,22.362,Brazil,7.443487205863444,6,64.55651279413655,66,0.2799299919330953,0.03227645396733258
NR,25.717380130854668,22.362,United States,27.204191847756206,34,2521.795808152244,2515,1.6976430948788637,0.018313540014939733
NR,25.717380130854668,22.362,India,9.85071364279285,5,913.1492863572071,918,2.3886008362035467,0.025767334209111058
NR,25.717380130854668,22.362,United Kingdom,4.226308345120227,5,391.77369165487977,391,0.14163632370121665,0.00152791979038223
NR,25.717380130854668,22.362,Japan,2.4013115597274015,0,222.59868844027258,225,2.4013115597274015,0.025904452749854055
NR,25.717380130854668,22.362,South Korea,1.9530667352449531,3,181.04693326475504,180,0.5612042031493575,0.00605406145846063
NR,25.717380130854668,22.362,Canada,1.889031760318889,2,175.1109682396811,175,0.0065186570583894,7.032083907542869e-05
NR,25.717380130854668,22.362,Spain,1.4301144400154302,1,132.56988555998456,133,0.1293591801700786,0.001395478548754513
NR,25.717380130854668,22.362,France,1.2273370194162274,0,113.77266298058377,115,1.2273370194162274,0.013240053627702957
NR,25.717380130854668,22.362,Egypt,1.077922077922078,0,99.92207792207792,101,1.077922077922078,0.011628221012156638
NR,25.717380130854668,22.362,Mexico,1.0672495821010672,4,98.93275041789893,96,8.05905681101673,0.08693809660961625
NR,25.717380130854668,22.362,Turkey,1.0672495821010672,3,98.93275041789893,97,3.5001411483661276,0.03775821618331009
NR,25.717380130854668,22.362,Australia,0.8751446573228752,2,81.12485534267712,80,1.445817592967894,0.015596940501213245
NR,25.717380130854668,22.362,Taiwan,0.8324546740388326,0,77.16754532596117,78,0.8324546740388326,0.008980210286615862
NR,25.717380130854668,22.362,Brazil,0.7684196991127685,2,71.23158030088723,70,1.9739083202640395,0.021293786142697575
TV-G,60.96741598791787,22.362,United States,63.585701427285585,77,2485.4142985727144,2472,2.8299350665134217,0.07239976300983829
TV-G,60.96741598791787,22.362,India,23.024559598817024,9,899.975440401183,914,8.542542197023232,0.21854848822662395
TV-G,60.96741598791787,22.362,United Kingdom,9.87835926449788,21,386.1216407355021,375,12.521400501611277,0.32034177730615726
TV-G,60.96741598791787,22.362,Japan,5.612704127555613,1,219.38729587244438,224,3.790871366959966,0.0969839173401338
TV-G,60.96741598791787,22.362,South Korea,4.564999357078565,1,178.43500064292144,182,2.784057438313425,0.07122605077578843
TV-G,60.96741598791787,22.362,Canada,4.415327247010415,14,172.58467275298958,163,20.806147912162725,0.5322949617512279
TV-G,60.96741598791787,22.362,Spain,3.3426771248553426,1,130.65732287514467,133,1.64183853430295,0.042004045319104344
TV-G,60.96741598791787,22.362,France,2.868715442972869,2,112.13128455702713,113,0.26306775135476035,0.00673020490080756
TV-G,60.96741598791787,22.362,Egypt,2.5194805194805197,0,98.48051948051949,101,2.5194805194805197,0.06445723602521654
TV-G,60.96741598791787,22.362,Mexico,2.4945351678024945,2,97.5054648321975,98,0.09804032244166978,0.0025082187199899873
TV-G,60.96741598791787,22.362,Turkey,2.4945351678024945,1,97.5054648321975,99,0.8954114564622884,0.022907796723418746
TV-G,60.96741598791787,22.362,Australia,2.0455188375980455,2,79.95448116240196,80,0.0010129286214299801,2.5914302064796888e-05
TV-G,60.96741598791787,22.362,Taiwan,1.9457374308859459,0,76.05426256911406,78,1.9457374308859459,0.04977885554422679
TV-G,60.96741598791787,22.362,Brazil,1.7960653208177961,3,70.20393467918221,69,0.8070189290652187,0.020646402774449995
TV-Y,81.35849163948261,22.362,United States,91.44541597016844,81,2457.5545840298314,2468,1.1931348732170783,0.04439645633870029
TV-Y,81.35849163948261,22.362,India,33.11263983541211,6,889.8873601645879,917,22.199837962137725,0.8260542533257426
TV-Y,81.35849163948261,22.362,United Kingdom,14.206506364922205,16,381.79349363507777,380,0.22641875042599016,0.008425024188963622
TV-Y,81.35849163948261,22.362,Japan,8.071878616433072,1,216.92812138356692,224,6.195765514083409,0.2305439555120401
TV-Y,81.35849163948261,22.362,South Korea,6.5651279413655645,4,176.43487205863443,179,1.0022472394050108,0.03729354225046681
TV-Y,81.35849163948261,22.362,Canada,6.34987784492735,17,170.65012215507264,160,17.86256439697968,0.6646646394715015
TV-Y,81.35849163948261,22.362,Spain,4.8072521537868065,2,129.1927478462132,132,1.639328332035349,0.06099928042649532
TV-Y,81.35849163948261,22.362,France,4.125626848399126,9,110.87437315160088,106,5.759006932550598,0.21429220247821007
TV-Y,81.35849163948261,22.362,Egypt,3.623376623376623,0,97.37662337662337,101,3.623376623376623,0.13482556387331035
TV-Y,81.35849163948261,22.362,Mexico,3.587501607303587,0,96.4124983926964,100,3.587501607303587,0.13349065730030735
TV-Y,81.35849163948261,22.362,Turkey,3.587501607303587,0,96.4124983926964,100,3.587501607303587,0.13349065730030735
TV-Y,81.35849163948261,22.362,Australia,2.9417513179889414,8,79.05824868201105,74,8.697499198048389,0.3236332723733658
TV-Y,81.35849163948261,22.362,Taiwan,2.798251253696798,0,75.2017487463032,78,2.798251253696798,0.10412271269423982
TV-Y,81.35849163948261,22.362,Brazil,2.583001157258583,3,69.41699884274142,69,0.06732015367435364,0.002504977710742201
