Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
1 Season,181.64711542847425,22.362,United States,468.33000000000004,372,230.66999999999996,327,19.813953622445723,40.22833008193527
1 Season,181.64711542847425,22.362,India,47.57,64,23.429999999999996,7,5.674687828463318,11.521335894152791
1 Season,181.64711542847425,22.362,United Kingdom,136.01000000000002,129,66.99,74,0.36129769869862705,0.7335438125093309
1 Season,181.64711542847425,22.362,Japan,104.52000000000001,101,51.48,55,0.11854573287409176,0.24068376068376113
1 Season,181.64711542847425,22.362,South Korea,98.49000000000001,130,48.50999999999999,17,10.08102446948928,20.467534528963093
1 Season,181.64711542847425,22.362,Canada,39.53,20,19.47,39,9.648897040222616,19.59018489984592
1 Season,181.64711542847425,22.362,Spain,30.150000000000002,29,14.849999999999998,16,0.0438640132669985,0.0890572390572394
1 Season,181.64711542847425,22.362,France,30.82,35,15.179999999999998,11,0.5669175859831277,1.151014492753622
1 Season,181.64711542847425,22.362,Egypt,8.040000000000001,12,3.9599999999999995,0,1.9504477611940287,3.9599999999999995
1 Season,181.64711542847425,22.362,Mexico,23.450000000000003,28,11.549999999999999,7,0.8828358208955213,1.7924242424242418
1 Season,181.64711542847425,22.362,Turkey,18.09,18,8.909999999999998,9,0.0004477611940298494,0.0009090909090909423
1 Season,181.64711542847425,22.362,Australia,30.150000000000002,27,14.849999999999998,18,0.3291044776119407,0.6681818181818192
1 Season,181.64711542847425,22.362,Taiwan,45.56,67,22.439999999999998,1,10.08941176470588,20.484563279857394
1 Season,181.64711542847425,22.362,Brazil,17.42,20,8.579999999999998,6,0.38211251435131977,0.7758041958041949
2 Seasons,56.76255717293238,22.362,United States,110.0925,122,588.9075,577,1.2879038649317616,0.24076541095163612
2 Seasons,56.76255717293238,22.362,India,11.1825,3,59.8175,68,5.9873289738430575,1.119292953567099
2 Seasons,56.76255717293238,22.362,United Kingdom,31.9725,35,171.0275,168,0.28667624521072793,0.05359229509874155
2 Seasons,56.76255717293238,22.362,Japan,24.57,40,131.43,116,9.69006512006512,1.8114958533059438
2 Seasons,56.76255717293238,22.362,South Korea,23.1525,13,123.84750000000001,134,4.451927707590973,0.8322594824279842
2 Seasons,56.76255717293238,22.362,Canada,9.2925,21,49.7075,38,14.750127118644066,2.757442161645628
2 Seasons,56.76255717293238,22.362,Spain,7.0875,6,37.9125,39,0.16686507936507947,0.03119436201780407
2 Seasons,56.76255717293238,22.362,France,7.245,8,38.755,38,0.07867839889579019,0.014708424719391145
2 Seasons,56.76255717293238,22.362,Egypt,1.8900000000000001,0,10.11,12,1.8900000000000001,0.35332344213649874
2 Seasons,56.76255717293238,22.362,Mexico,5.5125,5,29.4875,30,0.04764739229024947,0.00890737600678251
2 Seasons,56.76255717293238,22.362,Turkey,4.2525,4,22.747500000000002,23,0.014992651381540314,0.0028027805253324034
2 Seasons,56.76255717293238,22.362,Australia,7.0875,6,37.9125,39,0.16686507936507947,0.03119436201780407
2 Seasons,56.76255717293238,22.362,Taiwan,10.71,1,57.29,67,8.803370681605978,1.6457339849886548
2 Seasons,56.76255717293238,22.362,Brazil,4.095,5,21.905,21,0.20000610500610513,0.037389865327550884
3 Seasons,38.114950444457236,22.362,United States,53.29875,76,645.70125,623,9.669021347827108,0.7981194887922212
3 Seasons,38.114950444457236,22.362,India,5.41375,4,65.58624999999999,67,0.3691875432925423,0.030474208580304883
3 Seasons,38.114950444457236,22.362,United Kingdom,15.47875,17,187.52124999999998,186,0.14950829766615525,0.012341009685568656
3 Seasons,38.114950444457236,22.362,Japan,11.895,7,144.105,149,2.0143778898696927,0.16627476492835155
3 Seasons,38.114950444457236,22.362,South Korea,11.20875,2,135.79125,145,7.565614057098249,0.6244958829269204
3 Seasons,38.114950444457236,22.362,Canada,4.49875,7,54.50125,52,1.3906644206724086,0.11479097383087533
3 Seasons,38.114950444457236,22.362,Spain,3.43125,6,41.56875,39,1.9230532786885246,0.1587364682002708
3 Seasons,38.114950444457236,22.362,France,3.5075,2,42.4925,44,0.6479133998574482,0.053481349649938247
3 Seasons,38.114950444457236,22.362,Egypt,0.915,0,11.084999999999999,12,0.915,0.07552774018944536
3 Seasons,38.114950444457236,22.362,Mexico,2.6687499999999997,1,32.33125,34,1.0434572599531613,0.0861311134738066
3 Seasons,38.114950444457236,22.362,Turkey,2.05875,3,24.94125,24,0.43033469945355207,0.03552153811456925
3 Seasons,38.114950444457236,22.362,Australia,3.43125,6,41.56875,39,1.9230532786885246,0.1587364682002708
3 Seasons,38.114950444457236,22.362,Taiwan,5.185,0,62.815,68,5.185,0.4279905277401898
3 Seasons,38.114950444457236,22.362,Brazil,1.9825,0,24.0175,26,1.9825,0.16364343707713155
4 Seasons,28.546228337108605,22.362,United States,25.047500000000003,43,673.9525,656,12.86724248927038,0.47821212362889004
4 Seasons,28.546228337108605,22.362,India,2.544166666666667,0,68.45583333333333,71,2.544166666666667,0.09455416306539921
4 Seasons,28.546228337108605,22.362,United Kingdom,7.274166666666667,7,195.72583333333333,196,0.010333466987436531,0.00038404414905772775
4 Seasons,28.546228337108605,22.362,Japan,5.59,3,150.41,153,1.2000178890876565,0.044598763380094525
4 Seasons,28.546228337108605,22.362,South Korea,5.2675,1,141.7325,146,3.45734337921215,0.1284924505670902
4 Seasons,28.546228337108605,22.362,Canada,2.1141666666666667,5,56.88583333333333,54,3.9391568125082115,0.1463990863767094
4 Seasons,28.546228337108605,22.362,Spain,1.6125,2,43.387499999999996,43,0.09312015503875966,0.0034608182080091434
4 Seasons,28.546228337108605,22.362,France,1.6483333333333334,1,44.35166666666667,45,0.25500674081563873,0.009477346460736792
4 Seasons,28.546228337108605,22.362,Egypt,0.43000000000000005,0,11.57,12,0.43000000000000005,0.015980985306827983
4 Seasons,28.546228337108605,22.362,Mexico,1.2541666666666667,1,33.74583333333333,34,0.051508859357696564,0.0019143309873647454
4 Seasons,28.546228337108605,22.362,Turkey,0.9675,1,26.0325,26,0.001091731266149869,4.057428214731302e-05
4 Seasons,28.546228337108605,22.362,Australia,1.6125,1,43.387499999999996,44,0.23265503875968996,0.008646643618553853
4 Seasons,28.546228337108605,22.362,Taiwan,2.436666666666667,0,65.56333333333333,68,2.436666666666667,0.09055891673869207
4 Seasons,28.546228337108605,22.362,Brazil,0.9316666666666668,1,25.06833333333333,25,0.005011926058437673,0.0001862686434855743
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,United States,39.90125,82,659.09875,617,44.41727393408729,2.688982116204134
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,India,4.0529166666666665,0,66.94708333333332,71,4.0529166666666665,0.2453599572838426
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,United Kingdom,11.587916666666667,15,191.41208333333333,188,1.0046942007359199,0.060823290101997614
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Japan,8.905,5,147.095,151,1.7124115665356536,0.10366786770454474
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,South Korea,8.39125,1,138.60875,146,6.510421756293757,0.39413512179065324
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Canada,3.3679166666666664,4,55.632083333333334,55,0.11862803620767876,0.007181635422205926
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Spain,2.56875,2,42.43125,43,0.1259276155717762,0.007623545441154848
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,France,2.6258333333333335,0,43.37416666666667,46,2.6258333333333335,0.1589656061275592
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Egypt,0.685,0,11.315,12,0.685,0.04146928855501553
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Mexico,1.9979166666666666,0,33.00208333333333,35,1.9979166666666666,0.12095209161879535
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Turkey,1.54125,1,25.45875,26,0.19007400648824005,0.011506910688859498
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Australia,2.56875,5,42.43125,40,2.3011100973236007,0.13930715127411974
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Taiwan,3.881666666666667,0,64.11833333333333,68,3.881666666666667,0.23499263514508867
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",75.41285855580446,22.362,Brazil,1.4841666666666666,0,24.515833333333333,26,1.4841666666666664,0.08985012520253353
