Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,United States,3.6053748231966054,5,2545.3946251768034,2544,0.5394666239027646,0.0007641170310237538
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,India,1.3055162659123056,1,921.6944837340876,922,0.07149676428717014,0.00010127020437281686
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,United Kingdom,0.5601131541725601,0,395.4398868458274,396,0.5601131541725601,0.0007933614081765372
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,Japan,0.31824611032531824,0,224.68175388967467,225,0.31824611032531824,0.00045077352737301414
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,South Korea,0.25884016973125884,0,182.74115983026874,183,0.25884016973125884,0.00036662913559668063
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,Canada,0.25035360678925034,0,176.74964639321075,177,0.25035360678925034,0.0003546085082000615
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,Spain,0.18953323903818953,0,133.81046676096182,134,0.18953323903818953,0.0002684606785243317
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,France,0.16265912305516267,0,114.83734087694484,115,0.16265912305516267,0.00023039535843507821
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,Egypt,0.14285714285714285,3,100.85714285714285,98,57.142857142857146,0.08093889113719085
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,Mexico,0.14144271570014144,0,99.85855728429985,100,0.14144271570014144,0.0002003437899435708
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",60.18973245814488,22.362,Turkey,0.14144271570014144,0,99.85855728429985,100,0.14144271570014144,0.0002003437899435708
