Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV,17.379036734957843,19.675,1,224.85148514851485,192,532.1485148514851,565,4.799701793164786,2.0280430111963996
TV,17.379036734957843,19.675,2,140.1980198019802,132,331.8019801980198,340,0.47937573418358753,0.2025531271198257
TV,17.379036734957843,19.675,3,198.7128712871287,189,470.28712871287127,480,0.47475469520046115,0.20060057543681575
TV,17.379036734957843,19.675,4,178.5148514851485,174,422.48514851485146,427,0.11418592774418856,0.048247575103178876
TV,17.379036734957843,19.675,5,161.2871287128713,168,381.7128712871287,375,0.27939390624145233,0.11805376320061267
TV,17.379036734957843,19.675,6,160.99009900990097,160,381.00990099009897,382,0.006089169802588908,0.002572888648981524
TV,17.379036734957843,19.675,7,178.21782178217822,188,421.78217821782175,412,0.5369328932893287,0.22687305350253195
TV,17.379036734957843,19.675,8,183.56435643564356,200,434.4356435643564,418,1.471584051609045,0.6217960781446626
TV,17.379036734957843,19.675,9,183.86138613861385,193,435.1386138613861,426,0.45422404922237064,0.1919256546009993
TV,17.379036734957843,19.675,10,233.16831683168317,220,551.8316831683168,565,0.7436883815770116,0.31423452742690905
TV,17.379036734957843,19.675,11,219.2079207920792,220,518.7920792079208,518,0.0028620748253688237,0.0012093273910008244
TV,17.379036734957843,19.675,12,247.4257425742574,274,585.5742574257425,559,2.854153938803247,1.2059805375224935
Movies,16.297031987800956,19.675,1,383.22090780506625,399,373.77909219493375,358,0.649702940067321,0.6661147070429799
Movies,16.297031987800956,19.675,2,238.94355149800697,245,233.05644850199303,227,0.15351143911326517,0.15738920202836593
Movies,16.297031987800956,19.675,3,338.6721100681497,363,330.3278899318503,306,1.7475493580416974,1.7916931829713971
Movies,16.297031987800956,19.675,4,304.24803908962326,302,296.75196091037674,299,0.016610393820765127,0.01702997928967508
Movies,16.297031987800956,19.675,5,274.8863314902919,283,268.1136685097081,260,0.23948668647336305,0.24553621995979963
Movies,16.297031987800956,19.675,6,274.3800951523724,291,267.6199048476276,251,1.006710187890271,1.0321401066989577
Movies,16.297031987800956,19.675,7,303.74180275170374,286,296.25819724829626,314,1.0363129540574803,1.0624906510740364
Movies,16.297031987800956,19.675,8,312.8540568342549,294,305.1459431657451,324,1.1362341364735404,1.1649358841917525
Movies,16.297031987800956,19.675,9,313.3602931721744,303,305.6397068278256,316,0.34253119157770434,0.35118367219828706
Movies,16.297031987800956,19.675,10,397.39552526681246,407,387.60447473318754,378,0.2321262546640498,0.23798986057613655
Movies,16.297031987800956,19.675,11,373.60241738459564,366,364.39758261540436,372,0.15470122087059354,0.1586090381686268
Movies,16.297031987800956,19.675,12,421.69486948694873,398,411.30513051305127,435,1.3314054322894973,1.3650372882613937
Action & Adventure,15.555326408784444,19.675,1,84.68432557541469,102,672.3156744245854,655,3.5405912338668295,0.4459699396936683
Action & Adventure,15.555326408784444,19.675,2,52.8018516137328,51,419.19814838626723,421,0.0614877914066767,0.007744951284755554
Action & Adventure,15.555326408784444,19.675,3,74.83991256268484,59,594.1600874373152,610,3.3525270327293413,0.42228152866288216
Action & Adventure,15.555326408784444,19.675,4,67.23286614375724,59,533.7671338562428,542,1.0081391561694966,0.1269843732253438
Action & Adventure,15.555326408784444,19.675,5,60.74450302173075,55,482.25549697826926,488,0.5432477561775185,0.0684270374800114
Action & Adventure,15.555326408784444,19.675,6,60.63263469204063,55,481.3673653079594,487,0.5232590293184881,0.06590927399841884
Action & Adventure,15.555326408784444,19.675,7,67.12099781406712,68,532.8790021859329,532,0.011511224028806744,0.0014499442457018264
Action & Adventure,15.555326408784444,19.675,8,69.13462774848914,79,548.8653722515108,539,1.4077687669766537,0.17732138805120679
Action & Adventure,15.555326408784444,19.675,9,69.24649607817925,79,549.7535039218208,540,1.3738000352475614,0.1730427147336589
Action & Adventure,15.555326408784444,19.675,10,87.81663880673781,87,697.1833611932622,698,0.007594220750555436,0.0009565617566213538
Action & Adventure,15.555326408784444,19.675,11,82.55882731130257,92,655.4411726886974,646,1.0796633702378593,0.13599350399694976
Action & Adventure,15.555326408784444,19.675,12,93.18631863186319,84,739.8136813681368,749,0.9055884087394542,0.11406716600598274
Dramas,18.49068884551594,19.675,1,273.4232994728044,254,483.5767005271956,503,1.3797820563853127,0.780154548386945
Dramas,18.49068884551594,19.675,2,170.48321975054648,177,301.5167802494536,295,0.2491061870007375,0.1408492913214742
Dramas,18.49068884551594,19.675,3,241.63829240066863,271,427.3617075993314,398,3.5677700938191528,2.0172838553820487
Dramas,18.49068884551594,19.675,4,217.07715057220005,226,383.9228494278,375,0.3667693338581439,0.2073782324491813
Dramas,18.49068884551594,19.675,5,196.1279413655651,189,346.8720586344349,354,0.25905308421217454,0.1464734528083732
Dramas,18.49068884551594,19.675,6,195.76674810338176,212,346.2332518966183,330,1.3460838967397017,0.7611009794568938
Dramas,18.49068884551594,19.675,7,216.7159573100167,234,383.2840426899833,366,1.378477779934838,0.7794170861185532
Dramas,18.49068884551594,19.675,8,223.2174360293172,211,394.7825639706828,407,0.6687010915708838,0.3780960882090587
Dramas,18.49068884551594,19.675,9,223.57862929150056,209,395.42137070849947,410,0.9506115709381793,0.5374935392039724
Dramas,18.49068884551594,19.675,10,283.5367108139385,274,501.4632891860615,511,0.3207657057444447,0.1813669217866636
Dramas,18.49068884551594,19.675,11,266.56062749132053,248,471.43937250867947,490,1.2923772580884274,0.7307342427476634
Dramas,18.49068884551594,19.675,12,300.87398739873987,304,532.1260126012602,529,0.03247856309454436,0.018363986258570535
International,59.12249114590796,19.675,1,353.8247396168188,271,403.1752603831811,486,19.387953199719544,17.014777856344914
International,59.12249114590796,19.675,2,220.6146328918606,218,251.38536710813938,254,0.030987541803495285,0.027194523045801014
International,59.12249114590796,19.675,3,312.69319789121766,331,356.3068021087823,338,1.0717821996457637,0.940591090225091
International,59.12249114590796,19.675,4,280.9097338305259,305,320.0902661694741,296,2.0659338364765607,1.813053958375736
International,59.12249114590796,19.675,5,253.8003086022888,271,289.1996913977112,272,1.165598993183545,1.022924273351566
International,59.12249114590796,19.675,6,253.3329047190433,285,288.66709528095663,257,3.958447184921917,3.4739149003358567
International,59.12249114590796,19.675,7,280.4423299472804,285,319.5576700527195,315,0.07406997479075919,0.06500346652931023
International,59.12249114590796,19.675,8,288.85559984569886,304,329.14440015430114,314,0.7940052266811246,0.6968153063703254
International,59.12249114590796,19.675,9,289.3230037289443,286,329.67699627105566,333,0.0381661798068528,0.03349446248138934
International,59.12249114590796,19.675,10,366.9120483476919,369,418.08795165230805,416,0.011881708769195223,0.010427332538875492
International,59.12249114590796,19.675,11,344.94406583515496,314,393.05593416484504,424,2.775914431495105,2.4361296374902723
International,59.12249114590796,19.675,12,389.3474347434743,396,443.65256525652563,437,0.11366871987095965,0.09975514165401528
Sci-Fi & Fantasy,25.37837258097223,19.675,1,28.520123440915523,50,728.4798765590845,707,16.177528051354603,0.6333532494717921
Sci-Fi & Fantasy,25.37837258097223,19.675,2,17.782692554969785,15,454.21730744503026,457,0.4354446229977812,0.017047738447133347
Sci-Fi & Fantasy,25.37837258097223,19.675,3,25.204706184904207,19,643.7952938150958,650,1.5274281937095644,0.059799099513215805
Sci-Fi & Fantasy,25.37837258097223,19.675,4,22.642792850713644,22,578.3572071492864,579,0.01824786596126767,0.0007144073659340648
Sci-Fi & Fantasy,25.37837258097223,19.675,5,20.45763147743346,21,522.5423685225666,522,0.014379162836885607,0.0005629469149128559
Sci-Fi & Fantasy,25.37837258097223,19.675,6,20.419956281342422,25,521.5800437186576,517,1.0272696070354026,0.04021779728238649
Sci-Fi & Fantasy,25.37837258097223,19.675,7,22.605117654622607,22,577.3948823453774,578,0.01619842822897608,0.000634171495335433
Sci-Fi & Fantasy,25.37837258097223,19.675,8,23.283271184261285,28,594.7167288157387,590,0.9555156809863785,0.03740861765486541
Sci-Fi & Fantasy,25.37837258097223,19.675,9,23.32094638035232,20,595.6790536196477,599,0.4729089755322601,0.0185144748571556
Sci-Fi & Fantasy,25.37837258097223,19.675,10,29.575028931464576,25,755.4249710685355,760,0.7077216990131069,0.027707436906846263
Sci-Fi & Fantasy,25.37837258097223,19.675,11,27.804294715185808,23,710.1957052848143,715,0.8301324650308807,0.03249984129530204
Sci-Fi & Fantasy,25.37837258097223,19.675,12,31.383438343834385,23,801.6165616561657,810,2.239462664825579,0.08767538225466108
Horror,17.284901639007224,19.675,1,37.08589430371608,53,719.9141056962839,704,6.828978102521293,0.3517902456815294
Horror,17.284901639007224,19.675,2,23.12356949980712,22,448.87643050019284,450,0.054594011573661054,0.0028123740413150767
Horror,17.284901639007224,19.675,3,32.77472032917577,27,636.2252796708242,642,1.0174730568336954,0.052414444923423835
Horror,17.284901639007224,19.675,4,29.443358621576444,28,571.5566413784236,573,0.07075565451804115,0.003644930282770734
Horror,17.284901639007224,19.675,5,26.6019030474476,24,516.3980969525524,519,0.2544892918466096,0.013109845888799617
Horror,17.284901639007224,19.675,6,26.552912434100552,29,515.4470875658994,513,0.22552093183907376,0.011617560171807241
Horror,17.284901639007224,19.675,7,29.394368008229392,26,570.6056319917706,574,0.39197080787943767,0.02019211435939285
Horror,17.284901639007224,19.675,8,30.276199048476276,28,587.7238009515237,590,0.17112723099715033,0.008815505004044958
Horror,17.284901639007224,19.675,9,30.325189661823323,35,588.6748103381767,584,0.720650124257444,0.03712380980828696
Horror,17.284901639007224,19.675,10,38.45763147743346,49,746.5423685225666,736,2.889973453794692,0.14887505217628205
Horror,17.284901639007224,19.675,11,36.15507265012215,27,701.8449273498778,711,2.318218415438074,0.11942147326688908
Horror,17.284901639007224,19.675,12,40.809180918091805,33,792.1908190819082,800,1.4943526245696743,0.07698057733383487
Thriller,5.580347216771978,19.675,1,52.660023145171664,60,704.3399768548284,697,1.0230770328545788,0.07649041939943774
Thriller,5.580347216771978,19.675,2,32.83425485405684,35,439.16574514594316,437,0.1428523978395338,0.010680368605747345
Thriller,5.580347216771978,19.675,3,46.53838240966954,40,622.4616175903304,629,0.9186061552107907,0.06867964759107824
Thriller,5.580347216771978,19.675,4,41.808023659508805,35,559.1919763404912,566,1.1086194010486314,0.08288599999548121
Thriller,5.580347216771978,19.675,5,37.77330590201878,35,505.22669409798124,508,0.2036153691742699,0.015223316020353633
Thriller,5.580347216771978,19.675,6,37.70374180275171,40,504.29625819724833,502,0.13984823405631203,0.01045576210951736
Thriller,5.580347216771978,19.675,7,41.738459560241736,45,558.2615404397583,555,0.25486436615671104,0.019054950537697884
Thriller,5.580347216771978,19.675,8,42.99061334704899,46,575.009386652951,572,0.2106601260570601,0.015750017716537782
Thriller,5.580347216771978,19.675,9,43.06017744631606,48,575.9398225536839,571,0.5666917395383881,0.04236874393176727
Thriller,5.580347216771978,19.675,10,54.60781792464961,55,730.3921820753504,730,0.0028165707049193824,0.00021058108780565467
Thriller,5.580347216771978,19.675,11,51.33830525909734,46,686.6616947409027,692,0.5550923992423074,0.041501518517148075
Thriller,5.580347216771978,19.675,12,57.94689468946895,56,775.0531053105311,777,0.0654115971562363,0.004890502219668498
Crime,18.755491297497276,19.675,1,41.46611804037546,29,715.5338819596245,728,3.7477368594103253,0.21718621984883718
Crime,18.755491297497276,19.675,2,25.854699755689854,33,446.14530024431014,439,1.9747015460932928,0.11443652001574484
Crime,18.755491297497276,19.675,3,36.64575028931464,46,632.3542497106854,623,2.387779946079352,0.13837494994283928
Crime,18.755491297497276,19.675,4,32.92092066349492,29,568.0790793365051,572,0.46698629745397136,0.027062462619425107
Crime,18.755491297497276,19.675,5,29.74386010029574,32,513.2561398997043,511,0.17113337777523138,0.00991740156880028
Crime,18.755491297497276,19.675,6,29.68908319403369,34,512.3109168059663,508,0.6259541120386439,0.03627485399652507
Crime,18.755491297497276,19.675,7,32.86614375723286,25,567.1338562427671,575,1.882673491192176,0.10910337467662452
Crime,18.755491297497276,19.675,8,33.85212806994985,42,584.1478719300502,576,1.961112071043796,0.11364899228195717
Crime,18.755491297497276,19.675,9,33.906904976211905,40,585.0930950237881,579,1.0949335244534302,0.06345282021727186
Crime,18.755491297497276,19.675,10,42.999871415712995,31,742.000128584287,754,3.348775455663956,0.19406588819382897
Crime,18.755491297497276,19.675,11,40.42535682139642,41,697.5746431786035,697,0.008168506320786488,0.00047337555334709937
Crime,18.755491297497276,19.675,12,45.62916291629163,44,787.3708370837084,789,0.05816832127052195,0.003370929786592708
Sports,16.359797040983057,19.675,1,19.07830783078308,16,737.921692169217,741,0.49668865735412954,0.01284144266474177
Sports,16.359797040983057,19.675,2,11.895589558955896,7,460.10441044104414,465,2.0147632877694552,0.05208990956375251
Sports,16.359797040983057,19.675,3,16.86048604860486,29,652.1395139513952,640,8.740424122489127,0.22597587758974877
Sports,16.359797040983057,19.675,4,15.146714671467146,18,585.8532853285328,583,0.5374919474357707,0.013896375372300297
Sports,16.359797040983057,19.675,5,13.684968496849685,13,529.3150315031503,530,0.03428446633140026,0.0008863943280510315
Sports,16.359797040983057,19.675,6,13.65976597659766,12,528.3402340234023,530,0.20167425282327917,0.005214108106234421
Sports,16.359797040983057,19.675,7,15.121512151215121,14,584.8784878487849,586,0.08317881788178816,0.00215051422039719
Sports,16.359797040983057,19.675,8,15.575157515751576,19,602.4248424842484,599,0.7530932531533318,0.019470555021508015
Sports,16.359797040983057,19.675,9,15.6003600360036,10,603.3996399639964,609,2.010468505885899,0.05197887180499132
Sports,16.359797040983057,19.675,10,19.783978397839782,23,765.2160216021603,762,0.5227864051191295,0.013516176678980562
Sports,16.359797040983057,19.675,11,18.5994599459946,16,719.4005400540054,722,0.3633004415424121,0.009392809199618917
Sports,16.359797040983057,19.675,12,20.993699369936994,19,812.006300630063,814,0.18933476695294305,0.004895081694074086
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,1,110.77099138485278,101,646.2290086151472,656,0.8618887621143239,0.14773752241092042
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,2,69.06724958210107,94,402.93275041789894,378,9.00053277295031,1.5427935375233417
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,3,97.89404654751189,109,571.1059534524882,560,1.2599561100885706,0.21597078675716339
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,4,87.94368008229394,85,513.0563199177061,516,0.09853183786243047,0.016889476048718575
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,5,79.45660280313746,76,463.5433971968626,467,0.15037268794716124,0.025775586516623566
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,6,79.31027388453131,76,462.6897261154687,466,0.1381651159919555,0.02368307004049445
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,7,87.7973511636878,92,512.2026488363123,508,0.2011707301787175,0.034482947875190274
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,8,90.43127169859844,94,527.5687283014016,524,0.14083426507228777,0.024140592506743275
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,9,90.57760061720458,111,528.4223993827954,508,4.604608575502301,0.7892822049889491
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,10,114.86820110582487,111,670.1317988941752,674,0.13026215829148174,0.022328413335698592
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,11,107.99074193133599,87,630.009258068664,651,4.080083523345935,0.6993726539490367
"('Documentaries', 'Docuseries')",28.011551340667282,19.675,12,121.89198919891989,102,711.1080108010801,731,3.246244785161417,0.5564432242075142
Independent,25.171601180994607,19.675,1,65.50867943937251,79,691.4913205606275,678,2.77849793382056,0.26322200302100857
Independent,25.171601180994607,19.675,2,40.845570271312845,50,431.15442972868715,422,2.0517178019749456,0.19437022532786266
Independent,25.171601180994607,19.675,3,57.893403626076896,68,611.1065963739231,601,1.764333825060983,0.16714480071312637
Independent,25.171601180994607,19.675,4,52.00887231580301,52,548.991127684197,549,1.5135492119569258e-06,1.4338663001902713e-07
Independent,25.171601180994607,19.675,5,46.989713257039995,46,496.01028674296003,497,0.02084567585681024,0.001974822614250068
Independent,25.171601180994607,19.675,6,46.903176031888904,54,495.0968239681111,488,1.0738059699862035,0.10172739552374929
Independent,25.171601180994607,19.675,7,51.92233509065193,66,548.0776649093481,534,3.8168670371600917,0.3615922742129423
Independent,25.171601180994607,19.675,8,53.480005143371486,49,564.5199948566285,569,0.3752887837394416,0.03555311816675758
Independent,25.171601180994607,19.675,9,53.56654236852257,50,565.4334576314775,569,0.23746584909205173,0.022496412787013666
Independent,25.171601180994607,19.675,10,67.93172174360294,49,717.0682782563971,736,5.276034214618729,0.49982700259549473
Independent,25.171601180994607,19.675,11,63.864472161501865,47,674.1355278384981,691,4.453343332531555,0.4218890854157871
Independent,25.171601180994607,19.675,12,72.0855085508551,63,760.914491449145,770,1.1451187247909327,0.10848323504846363
Comedies,31.51130905134978,19.675,1,193.60588916034462,204,563.3941108396554,553,0.5580281706077893,0.19176192663076833
Comedies,31.51130905134978,19.675,2,120.71595731001672,98,351.28404268998327,374,4.2746189319884085,1.4689386758336138
Comedies,31.51130905134978,19.675,3,171.09952423813812,163,497.90047576186186,506,0.38341598655108394,0.13175784333968754
Comedies,31.51130905134978,19.675,4,153.7082422527967,182,447.29175774720323,419,5.207421181162286,1.7894887231050014
Comedies,31.51130905134978,19.675,5,138.8745017358879,157,404.1254982641121,386,2.3656876043893056,0.8129496622547193
Comedies,31.51130905134978,19.675,6,138.61874758904463,116,403.38125241095537,426,3.6907543272115517,1.2682982648278813
Comedies,31.51130905134978,19.675,7,153.45248810595345,134,446.5475118940465,466,2.4659052334882263,0.8473886505542669
Comedies,31.51130905134978,19.675,8,158.05606274913205,155,459.9439372508679,463,0.05908991635111352,0.020305778096469763
Comedies,31.51130905134978,19.675,9,158.3118168959753,144,460.68818310402463,475,1.2938269983883413,0.44461332062792525
Comedies,31.51130905134978,19.675,10,200.76700527195578,199,584.2329947280442,586,0.01555189622363544,0.005344285001522269
Comedies,31.51130905134978,19.675,11,188.74656037032275,203,549.2534396296772,535,1.076366853405173,0.36988487757824623
Comedies,31.51130905134978,19.675,12,213.04320432043204,234,619.9567956795679,599,2.061493989240744,0.708415954492021
Anime,14.797365508688365,19.675,1,19.857014272855857,15,737.1429857271442,742,1.188022898234674,0.0320027295972366
Anime,14.797365508688365,19.675,2,12.38112382666838,16,459.6188761733316,456,1.0577605830658559,0.02849374870532602
Anime,14.797365508688365,19.675,3,17.54866915262955,14,651.4513308473704,655,0.7176072809451505,0.019330765259846144
Anime,14.797365508688365,19.675,4,15.764947923363765,16,585.2350520766362,585,0.0035045773065400516,9.440562135664012e-05
Anime,14.797365508688365,19.675,5,14.243538639578244,11,528.7564613604218,532,0.738618623689752,0.019896764721075808
Anime,14.797365508688365,19.675,6,14.217307445030217,21,527.7826925549698,521,3.235839027404865,0.0871664019002503
Anime,14.797365508688365,19.675,7,15.738716728815739,13,584.2612832711842,587,0.47656803600528114,0.012837696995257086
Anime,14.797365508688365,19.675,8,16.210878230680212,10,601.7891217693198,608,2.3795754830439404,0.06410054120440616
Anime,14.797365508688365,19.675,9,16.237109425228237,24,602.7628905747717,595,3.7114038279650994,0.09997707393435584
Anime,14.797365508688365,19.675,10,20.591487720200593,20,764.4085122797994,765,0.016990405351084908,0.00045768423235456395
Anime,14.797365508688365,19.675,11,19.35862157644336,18,718.6413784235566,720,0.09535041431997263,0.0025685309020567195
Anime,14.797365508688365,19.675,12,21.85058505850585,26,811.1494149414941,807,0.7879717778994908,0.021226230383136587
Reality TV,25.080243095940634,19.675,1,21.60910376751961,17,735.3908962324804,740,0.9830966507595204,0.028887816872086726
Reality TV,25.080243095940634,19.675,2,13.473575929021473,9,458.5264240709785,463,1.4853429926953168,0.04364608132076256
