Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV-MA,56.80169425863878,19.675,1,278.4848913462775,230,478.51510865372256,527,8.441336538926592,4.912665548793515
TV-MA,56.80169425863878,19.675,2,173.63919249067763,187,298.3608075093224,285,1.0280580941468556,0.5983063888027189
TV-MA,56.80169425863878,19.675,3,246.1114825768291,273,422.8885174231709,396,2.9376620775524644,1.7096524011142427
TV-MA,56.80169425863878,19.675,4,221.0956667095281,249,379.9043332904719,352,3.521786871602139,2.0495997232818834
TV-MA,56.80169425863878,19.675,5,199.75864729330075,208,343.2413527066993,335,0.340009783588962,0.19787794769081102
TV-MA,56.80169425863878,19.675,6,199.3907676481934,240,342.60923235180667,302,8.270742781394567,4.813383868504865
TV-MA,56.80169425863878,19.675,7,220.7277870644207,209,379.2722129355793,391,0.6231249416198406,0.36264451952285487
TV-MA,56.80169425863878,19.675,8,227.34962067635334,239,390.6503793236467,379,0.597015899921275,0.3474496520900684
TV-MA,56.80169425863878,19.675,9,227.7175003214607,242,391.2824996785393,377,0.89580202127421,0.5213363675479078
TV-MA,56.80169425863878,19.675,10,288.7855214092838,266,496.2144785907163,519,1.7978047630619158,1.0462814131651983
TV-MA,56.80169425863878,19.675,11,271.49517808923747,230,466.50482191076253,508,6.342100868147207,3.69095821476183
TV-MA,56.80169425863878,19.675,12,306.4437443744374,288,526.5562556255626,545,1.110062492037504,0.6460310800893609
R,58.75326950828415,19.675,1,64.72997299729973,109,692.2700270027003,648,30.27709112286464,2.831027221134002
R,58.75326950828415,19.675,2,40.36003600360036,38,431.6399639963997,434,0.13800210529527487,0.012903740160483066
R,58.75326950828415,19.675,3,57.2052205220522,55,611.7947794779478,614,0.08500968104834998,0.007948739861804173
R,58.75326950828415,19.675,4,51.39063906390639,46,549.6093609360936,555,0.5654529705532075,0.052872078939522636
R,58.75326950828415,19.675,5,46.43114311431143,31,496.5688568856886,512,5.128458225293306,0.47953103484533643
R,58.75326950828415,19.675,6,46.34563456345634,34,495.6543654365437,508,3.2886526252159096,0.3075019679089665
R,58.75326950828415,19.675,7,51.3051305130513,56,548.6948694869487,544,0.429621741121481,0.04017132421903672
R,58.75326950828415,19.675,8,52.84428442844284,44,565.1557155715572,574,1.4802237914133762,0.138406752149873
R,58.75326950828415,19.675,9,52.92979297929793,41,566.0702070207021,578,2.6888440803947753,0.2514175075172255
R,58.75326950828415,19.675,10,67.12421242124212,62,717.8757875787579,723,0.3911785627104441,0.03657673568650745
R,58.75326950828415,19.675,11,63.1053105310531,86,674.8946894689469,652,8.306223382286886,0.7766645879106845
R,58.75326950828415,19.675,12,71.22862286228623,63,761.7713771377138,770,0.9506042864348356,0.08888524331821758
PG-13,67.71086541432034,19.675,1,37.57258583001157,75,719.4274141699884,682,37.28280341921357,1.9471197564357234
PG-13,67.71086541432034,19.675,2,23.427028417127428,15,448.5729715828725,457,3.0313194946719957,0.1583127215455829
PG-13,67.71086541432034,19.675,3,33.2048347691912,14,635.7951652308087,655,11.107589634933126,0.580101420522828
PG-13,67.71086541432034,19.675,4,29.82975440401183,25,571.1702455959881,576,0.7819885905575695,0.04083988580100453
PG-13,67.71086541432034,19.675,5,26.951009386652952,14,516.048990613347,529,6.223464276489687,0.3250246530543969
PG-13,67.71086541432034,19.675,6,26.901375851870903,25,515.098624148129,517,0.13438829857567947,0.007018520261157593
PG-13,67.71086541432034,19.675,7,29.78012086922978,22,570.2198791307702,578,2.0325733735475695,0.10615252634141036
PG-13,67.71086541432034,19.675,8,30.673524495306673,31,587.3264755046933,587,0.003474861689959089,0.0001814770142503563
PG-13,67.71086541432034,19.675,9,30.723158030088722,29,588.2768419699113,590,0.09664610629386759,0.0050474086090424065
PG-13,67.71086541432034,19.675,10,38.96232480390896,45,746.037675196091,740,0.9356095139845371,0.04886284297091355
PG-13,67.71086541432034,19.675,11,36.629548669152626,46,701.3704513308473,692,2.3971182101330153,0.125191128279169
PG-13,67.71086541432034,19.675,12,41.344734473447346,45,791.6552655265526,788,0.32316004056538344,0.016877252828877833
TV-14,29.654261472986295,19.675,1,187.66825253953968,144,569.3317474604603,613,10.16110212597225,3.349393896200124
TV-14,29.654261472986295,19.675,2,117.01375851870903,114,354.98624148129096,358,0.07762113211361381,0.025586175878791056
TV-14,29.654261472986295,19.675,3,165.85212806994986,158,503.14787193005014,511,0.37175233109393946,0.12254034781144046
TV-14,29.654261472986295,19.675,4,148.994213707085,165,452.005786292915,436,1.7194304965299685,0.5667741489673072
TV-14,29.654261472986295,19.675,5,134.6154043975826,155,408.3845956024174,388,3.086806742019166,1.0175010084822964
TV-14,29.654261472986295,19.675,6,134.3674938922464,128,407.6325061077536,414,0.3017469277227821,0.09946453695495368
TV-14,29.654261472986295,19.675,7,148.74630320174876,151,451.25369679825127,449,0.03414638985386348,0.011255640218541708
TV-14,29.654261472986295,19.675,8,153.2086922978012,166,464.79130770219876,452,1.067939098483372,0.35202369325969096
TV-14,29.654261472986295,19.675,9,153.45660280313746,158,465.54339719686254,461,0.13451658456781876,0.044340566771542925
TV-14,29.654261472986295,19.675,10,194.60974668895463,205,590.3902533110454,580,0.5547377030413481,0.18285763232411098
TV-14,29.654261472986295,19.675,11,182.95795293815095,159,555.0420470618491,579,3.137242736754337,1.0341261748097703
TV-14,29.654261472986295,19.675,12,206.50945094509453,225,626.4905490549055,608,1.6556162576925741,0.5457391254626933
TV-PG,22.1458494141685,19.675,1,78.25999742831426,53,678.7400025716857,704,8.153175198643593,0.9400764175691154
TV-PG,22.1458494141685,19.675,2,48.7961939051048,59,423.2038060948952,413,2.1337249996321574,0.24602250103316364
TV-PG,22.1458494141685,19.675,3,69.16240195448117,72,599.8375980455188,597,0.11642109643953144,0.013423571136868123
TV-PG,22.1458494141685,19.675,4,62.132441815610136,51,538.8675581843898,550,1.9946304564326434,0.2299846388888354
TV-PG,22.1458494141685,19.675,5,56.13629934422014,53,486.86370065577984,490,0.17522304981738082,0.02020354683108793
TV-PG,22.1458494141685,19.675,6,56.032917577472034,45,485.96708242252794,497,2.1723885803910177,0.2504804845309605
TV-PG,22.1458494141685,19.675,7,62.02906004886203,70,537.970939951138,530,1.0242922213330077,0.1181028174317719
TV-PG,22.1458494141685,19.675,8,63.88993185032789,67,554.1100681496721,551,0.15139355475075933,0.01745596128203196
TV-PG,22.1458494141685,19.675,9,63.993313617076,61,555.006686382924,558,0.1400134780297066,0.016143817056629987
TV-PG,22.1458494141685,19.675,10,81.15468689726116,93,703.8453131027388,692,1.7289382519526644,0.19934982856302005
TV-PG,22.1458494141685,19.675,11,76.2957438601003,82,661.7042561398997,656,0.4264790729250599,0.04917383832378457
TV-PG,22.1458494141685,19.675,12,86.11701170117011,98,746.8829882988299,735,1.6396924152467933,0.1890596159269217
NR,14.497885880107756,19.675,1,8.07907933650508,10,748.9209206634949,747,0.45672731282250156,0.004927003764526696
NR,14.497885880107756,19.675,2,5.037418027517038,7,466.96258197248295,465,0.7646234594141166,0.00824847246313634
NR,14.497885880107756,19.675,3,7.13989970425614,13,661.8601002957438,656,4.809699981598693,0.05188524804687838
NR,14.497885880107756,19.675,4,6.414169988427415,6,594.5858300115725,595,0.026743410234442697,0.0002884979268858246
NR,14.497885880107756,19.675,5,5.795165230808796,4,537.2048347691912,539,0.5560873724138901,0.0059988629984864626
NR,14.497885880107756,19.675,6,5.784492734987785,2,536.2155072650122,540,2.475996758461754,0.026710128795467452
NR,14.497885880107756,19.675,7,6.403497492606404,4,593.5965025073936,596,0.9021320307590144,0.009731863601897702
NR,14.497885880107756,19.675,8,6.595602417384596,3,611.4043975826154,615,1.9601479782689097,0.021145344709685595
NR,14.497885880107756,19.675,9,6.606274913205607,6,612.3937250867943,613,0.05563941483084729,0.0006002172382325208
NR,14.497885880107756,19.675,10,8.377909219493379,6,776.6220907805066,779,0.6749240303290779,0.007280828504979808
NR,14.497885880107756,19.675,11,7.876301915905877,10,730.1236980840941,728,0.5726156260309289,0.0061771636288754945
NR,14.497885880107756,19.675,12,8.890189018901891,12,824.1098109810981,821,1.0878198784746342,0.011734994789887623
TV-G,24.60125667976977,19.675,1,18.883631220264885,16,738.1163687797351,741,0.44034586979027585,0.011265607113189094
TV-G,24.60125667976977,19.675,2,11.774205992027774,7,460.22579400797224,465,1.9358454293858032,0.049525783107060996
TV-G,24.60125667976977,19.675,3,16.68844027259869,18,652.3115597274013,651,0.1030766740595545,0.002637066433806496
TV-G,24.60125667976977,19.675,4,14.992156358492993,11,586.0078436415071,590,1.0630433681161293,0.027196414798169987
TV-G,24.60125667976977,19.675,5,13.545325961167546,14,529.4546740388324,529,0.015261979090121298,0.00039045548509601945
TV-G,24.60125667976977,19.675,6,13.520380609489521,14,528.4796193905105,528,0.017013926338152713,0.000435276501332167
TV-G,24.60125667976977,19.675,7,14.967211006814967,27,585.032788993185,573,9.673680078979915,0.24748700188871164
TV-G,24.60125667976977,19.675,8,15.416227337019416,13,602.5837726629806,605,0.37870189745714344,0.009688535949714874
