Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
1 Season,13.885440783558003,19.675,1,131.99,132,65.00999999999999,65,7.576331540254421e-07,1.5382248884758979e-06
1 Season,13.885440783558003,19.675,2,96.48,104,47.519999999999996,40,0.586135986733001,1.1900336700336689
1 Season,13.885440783558003,19.675,3,132.66,140,65.33999999999999,58,0.40611789537162707,0.8245423936333004
1 Season,13.885440783558003,19.675,4,121.27000000000001,124,59.72999999999999,57,0.061457079244660213,0.12477649422400713
1 Season,13.885440783558003,19.675,5,115.24000000000001,112,56.75999999999999,60,0.09109337035751526,0.1849471458773795
1 Season,13.885440783558003,19.675,6,110.55000000000001,95,54.449999999999996,70,2.1872682044323866,4.440817263544539
1 Season,13.885440783558003,19.675,7,131.99,128,65.00999999999999,69,0.12061595575422435,0.24488694047069798
1 Season,13.885440783558003,19.675,8,136.68,137,67.32,67,0.000749195200468215,0.0015210932857991034
1 Season,13.885440783558003,19.675,9,136.68,129,67.32,75,0.43153643546971104,0.8761497326203225
1 Season,13.885440783558003,19.675,10,155.44,164,76.55999999999999,68,0.4713947503860013,0.9570741901776358
1 Season,13.885440783558003,19.675,11,152.09,150,74.91,77,0.02872049444407926,0.05831130690161546
1 Season,13.885440783558003,19.675,12,186.93,193,92.07,86,0.19710533354731674,0.4001835559900067
2 Seasons,9.209716253596039,19.675,1,31.0275,27,165.9725,170,0.5227864394488759,0.09773158957056155
2 Seasons,9.209716253596039,19.675,2,22.68,21,121.32000000000001,123,0.12444444444444441,0.02326409495548941
2 Seasons,9.209716253596039,19.675,3,31.185,28,166.815,170,0.3252918069584734,0.060811228007073795
2 Seasons,9.209716253596039,19.675,4,28.5075,26,152.4925,155,0.22055796720161366,0.04123190484777917
2 Seasons,9.209716253596039,19.675,5,27.09,26,144.91,146,0.04385751199704687,0.008198882064729884
2 Seasons,9.209716253596039,19.675,6,25.9875,36,139.01250000000002,129,3.8576298701298697,0.7211592932290286
2 Seasons,9.209716253596039,19.675,7,31.0275,33,165.9725,164,0.12539702683103698,0.02344217415535698
2 Seasons,9.209716253596039,19.675,8,32.13,33,171.87,171,0.023557422969187534,0.004403909931925338
2 Seasons,9.209716253596039,19.675,9,32.13,28,171.87,176,0.5308714596949897,0.09924303252458232
2 Seasons,9.209716253596039,19.675,10,36.54,31,195.46,201,0.8399452654625066,0.1570224086769667
