Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV,2.391111350105536,7.815,"(12, 1, 2)",612.4752475247525,598,1449.5247524752474,1464,0.3421081778400931,0.14455275120004163
TV,2.391111350105536,7.815,"(3, 4, 5)",538.5148514851485,531,1274.4851485148515,1282,0.10486803230791827,0.04431043618644434
TV,2.391111350105536,7.815,"(6, 7, 8)",522.7722772277227,548,1237.227722772277,1212,1.217428742874292,0.5144065110736353
TV,2.391111350105536,7.815,"(9, 10, 11)",636.2376237623762,633,1505.7623762376236,1509,0.01647530299248362,0.006961395630627859
Movies,3.055905034009887,7.815,"(12, 1, 2)",1043.859328790022,1042,1018.140671209978,1020,0.0033118481140668,0.003395506777365257
Movies,3.055905034009887,7.815,"(3, 4, 5)",917.8064806480648,948,895.1935193519352,865,0.9932906664724852,1.0183816025786914
Movies,3.055905034009887,7.815,"(6, 7, 8)",890.9759547383311,871,869.0240452616689,889,0.447867044655594,0.459180352814863
Movies,3.055905034009887,7.815,"(9, 10, 11)",1084.3582358235824,1076,1057.6417641764176,1066,0.06442530132079133,0.06605271127603007
Action & Adventure,6.86768171701523,7.815,"(12, 1, 2)",230.67249582101067,237,1831.3275041789893,1825,0.17356776321609754,0.02186245171536193
Action & Adventure,6.86768171701523,7.815,"(3, 4, 5)",202.81728172817282,173,1610.1827182718273,1640,4.383602235872635,0.5521549073706621
Action & Adventure,6.86768171701523,7.815,"(6, 7, 8)",196.8882602545969,202,1563.1117397454032,1558,0.13271427758539336,0.016716580497943362
Action & Adventure,6.86768171701523,7.815,"(9, 10, 11)",239.62196219621964,258,1902.3780378037804,1884,1.4095213578152916,0.1775421429418438
Dramas,7.323831519155525,7.815,"(12, 1, 2)",744.7805066220908,735,1317.2194933779094,1327,0.12843825655240992,0.07262138942345062
Dramas,7.323831519155525,7.815,"(3, 4, 5)",654.8433843384338,686,1158.1566156615663,1127,1.4823921607809372,0.8381722181227218
Dramas,7.323831519155525,7.815,"(6, 7, 8)",635.7001414427157,657,1124.2998585572843,1103,0.7136760635772184,0.40352577749364055
Dramas,7.323831519155525,7.815,"(9, 10, 11)",773.6759675967596,731,1368.3240324032404,1411,2.3540064401598517,1.3309992130452943
International,27.92731613937399,7.815,"(12, 1, 2)",963.7868072521537,885,1098.213192747846,1177,6.440595524113667,5.652236776956378
