Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV-MA,24.441192547914223,7.815,"(12, 1, 2)",758.5678282113926,705,1303.4321717886075,1357,3.7828024239456792,2.201504828093682
TV-MA,24.441192547914223,7.815,"(3, 4, 5)",666.965796579658,730,1146.0342034203422,1083,5.957293194363244,3.467008915596697
TV-MA,24.441192547914223,7.815,"(6, 7, 8)",647.4681753889674,688,1112.5318246110326,1072,2.537312054469045,1.4766578087542588
TV-MA,24.441192547914223,7.815,"(9, 10, 11)",787.998199819982,738,1354.001800180018,1404,3.1723676346087237,1.8462456880828961
R,12.95640727956323,7.815,"(12, 1, 2)",176.3186318631863,210,1885.6813681368137,1852,6.4340027345937445,0.6016045864039435
R,12.95640727956323,7.815,"(3, 4, 5)",155.02700270027003,132,1657.97299729973,1681,3.420325776299871,0.31981392593355096
R,12.95640727956323,7.815,"(6, 7, 8)",150.4950495049505,134,1609.5049504950496,1626,1.8079442417925986,0.1690499044983225
R,12.95640727956323,7.815,"(9, 10, 11)",183.15931593159314,189,1958.840684068407,1953,0.1862509161132843,0.017415193927916038
PG-13,29.867149128494027,7.815,"(12, 1, 2)",102.34434872058634,135,1959.6556512794136,1927,10.419642841189617,0.5441729314976573
PG-13,29.867149128494027,7.815,"(3, 4, 5)",89.98559855985599,53,1723.014401440144,1760,15.201704747464765,0.7939193657856065
PG-13,29.867149128494027,7.815,"(6, 7, 8)",87.35502121640735,78,1672.6449787835925,1682,1.0018476412778206,0.052322174202848445
PG-13,29.867149128494027,7.815,"(9, 10, 11)",106.31503150315031,120,2035.6849684968495,2022,1.7615417134520541,0.09199771362366009
TV-14,4.909882763182709,7.815,"(12, 1, 2)",511.1914620033432,483,1550.8085379966567,1579,1.5547179265696442,0.5124801098352365
TV-14,4.909882763182709,7.815,"(3, 4, 5)",449.4617461746175,478,1363.5382538253825,1335,1.8120161244724722,0.5972930565879512
TV-14,4.909882763182709,7.815,"(6, 7, 8)",436.32248939179635,445,1323.6775106082036,1315,0.17257691772993122,0.05688635619478671
TV-14,4.909882763182709,7.815,"(9, 10, 11)",531.0243024302431,522,1610.975697569757,1620,0.1533602774482989,0.050551994344387126
TV-PG,1.897405483326603,7.815,"(12, 1, 2)",213.1732030345892,210,1848.8267969654107,1852,0.04723491205924341,0.005446274099474222
TV-PG,1.897405483326603,7.815,"(3, 4, 5)",187.43114311431142,176,1625.5688568856885,1637,0.6971682012320396,0.08038480335444753
TV-PG,1.897405483326603,7.815,"(6, 7, 8)",181.95190947666197,182,1578.048090523338,1578,1.271049279767246e-05,1.4655436984552788e-06
TV-PG,1.897405483326603,7.815,"(9, 10, 11)",221.44374437443744,236,1920.5562556255625,1906,0.9568325284386795,0.11032458810622248
NR,8.12614387593876,7.815,"(12, 1, 2)",22.00668638292401,29,2039.993313617076,2033,2.222344359154825,0.02397382139457352
NR,8.12614387593876,7.815,"(3, 4, 5)",19.34923492349235,23,1793.6507650765077,1790,0.6888171907854596,0.007430702733973823
NR,8.12614387593876,7.815,"(6, 7, 8)",18.783592644978786,9,1741.2164073550211,1751,5.095866741364327,0.05497230823151092
NR,8.12614387593876,7.815,"(9, 10, 11)",22.860486048604862,22,2119.139513951395,2120,0.032389348077260016,0.00034940419683028096
TV-G,3.1122733590114997,7.815,"(12, 1, 2)",51.43731516008744,47,2010.5626848399127,2015,0.3827914767452711,0.009793161873741166
TV-G,3.1122733590114997,7.815,"(3, 4, 5)",45.22592259225923,43,1767.7740774077408,1770,0.10955512022165124,0.002802808034155232
TV-G,3.1122733590114997,7.815,"(6, 7, 8)",43.903818953323906,54,1716.096181046676,1706,2.3217313244579234,0.05939811116244687
TV-G,3.1122733590114997,7.815,"(9, 10, 11)",53.432943294329434,50,2088.5670567056704,2092,0.22055868412796412,0.005642672388346068
TV-Y,14.111108479171017,7.815,"(12, 1, 2)",73.97428314259997,60,1988.0257168574,2002,2.639844295254772,0.09822840202401643
TV-Y,14.111108479171017,7.815,"(3, 4, 5)",65.04140414041403,59,1747.958595859586,1754,0.5611589182333334,0.020880679939596934
TV-Y,14.111108479171017,7.815,"(6, 7, 8)",63.140028288543135,56,1696.8599717114569,1704,0.8074118010879419,0.030043730661981297
TV-Y,14.111108479171017,7.815,"(9, 10, 11)",76.84428442844283,104,2065.1557155715573,2038,9.596457221096355,0.35708343087301975
