Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
1 Season,4.694066686534009,7.815,"(12, 1, 2)",415.40000000000003,429,204.59999999999997,191,0.44525758305247726,0.904007820136848
1 Season,4.694066686534009,7.815,"(3, 4, 5)",369.17,376,181.82999999999998,175,0.1263615678413733,0.2565522741021822
1 Season,4.694066686534009,7.815,"(6, 7, 8)",379.22,360,186.77999999999997,206,0.9741268920415617,1.977772780811656
1 Season,4.694066686534009,7.815,"(9, 10, 11)",444.21000000000004,443,218.78999999999996,220,0.0032959636208101752,0.006691804927099448
2 Seasons,3.0848690253280893,7.815,"(12, 1, 2)",97.65,96,522.35,524,0.027880184331797425,0.005212022590217144
2 Seasons,3.0848690253280893,7.815,"(3, 4, 5)",86.7825,80,464.21750000000003,471,0.530087359202604,0.09909644993995184
2 Seasons,3.0848690253280893,7.815,"(6, 7, 8)",89.145,102,476.855,464,1.8537329631499255,0.3465435509746159
2 Seasons,3.0848690253280893,7.815,"(9, 10, 11)",104.4225,100,558.5775,563,0.18730164715458827,0.035014847984389134
3 Seasons,5.29079880443761,7.815,"(12, 1, 2)",47.275,38,572.725,582,1.819685351665785,0.15020406827011143
3 Seasons,5.29079880443761,7.815,"(3, 4, 5)",42.01375,44,508.98625,507,0.09390233108208605,0.00775107198377154
3 Seasons,5.29079880443761,7.815,"(6, 7, 8)",43.1575,54,522.8425,512,2.723971644557725,0.2248474564519897
3 Seasons,5.29079880443761,7.815,"(9, 10, 11)",50.55375,47,612.44625,616,0.24981606829364794,0.02062081213249368
4 Seasons,2.031530283479343,7.815,"(12, 1, 2)",22.21666666666667,24,597.7833333333333,596,0.14314828707176763,0.005320117842770798
4 Seasons,2.031530283479343,7.815,"(3, 4, 5)",19.74416666666667,18,531.2558333333333,533,0.15407676669621156,0.005726275685339288
4 Seasons,2.031530283479343,7.815,"(6, 7, 8)",20.281666666666666,16,545.7183333333332,550,0.9039034979592954,0.033593647720182584
4 Seasons,2.031530283479343,7.815,"(9, 10, 11)",23.7575,28,639.2425,635,0.7576052299273912,0.028156460576384667
5 Seasons,1.291674937051214,7.815,"(12, 1, 2)",14.725,14,605.275,606,0.03569609507640064,0.0008684069224733105
5 Seasons,1.291674937051214,7.815,"(3, 4, 5)",13.08625,12,537.9137499999999,539,0.09016632438628328,0.0021935469440967784
5 Seasons,1.291674937051214,7.815,"(6, 7, 8)",13.4425,17,552.5575,549,0.941477124790775,0.022904052971862716
5 Seasons,1.291674937051214,7.815,"(9, 10, 11)",15.74625,14,647.25375,649,0.19365811304278793,0.0047112729165340655
6 Seasons,1.70713188092443,7.815,"(12, 1, 2)",7.75,5,612.25,615,0.9758064516129032,0.012351980400163332
6 Seasons,1.70713188092443,7.815,"(3, 4, 5)",6.8875,9,544.1125000000001,542,0.6479355716878402,0.008201716097314963
6 Seasons,1.70713188092443,7.815,"(6, 7, 8)",7.075,7,558.9250000000001,559,0.0007950530035335726,1.0063962070026868e-05
6 Seasons,1.70713188092443,7.815,"(9, 10, 11)",8.2875,9,654.7125,654,0.061255656108597345,0.0007753880520075112
7 Seasons,3.101593477374099,7.815,"(12, 1, 2)",4.908333333333334,4,615.0916666666667,616,0.1680956423316358,0.0013413763982783964
7 Seasons,3.101593477374099,7.815,"(3, 4, 5)",4.3620833333333335,5,546.6379166666667,546,0.09328975228452249,0.0007444373344838392
7 Seasons,3.101593477374099,7.815,"(6, 7, 8)",4.480833333333334,2,561.5191666666667,564,1.3735244250201482,0.010960505701546396
7 Seasons,3.101593477374099,7.815,"(9, 10, 11)",5.24875,8,657.75125,655,1.4421293760419145,0.011507962261569476
8 Seasons,5.06413554131611,7.815,"(12, 1, 2)",4.6499999999999995,6,615.35,614,0.39193548387096805,0.0029617290972618203
8 Seasons,5.06413554131611,7.815,"(3, 4, 5)",4.1325,3,546.8675000000001,548,0.31035843920145206,0.0023452778780963498
8 Seasons,5.06413554131611,7.815,"(6, 7, 8)",4.245,1,561.755,565,2.4805712603062426,0.01874487098468199
8 Seasons,5.06413554131611,7.815,"(9, 10, 11)",4.9725,8,658.0275,655,1.8432893413775764,0.013929138599830847
9 Seasons,5.811537466894556,7.815,"(12, 1, 2)",2.066666666666667,2,617.9333333333334,618,0.002150537634408615,7.192433559881906e-06
9 Seasons,5.811537466894556,7.815,"(3, 4, 5)",1.836666666666667,1,549.1633333333333,550,0.38113127646702977,0.0012746865433680985
9 Seasons,5.811537466894556,7.815,"(6, 7, 8)",1.8866666666666667,0,564.1133333333333,566,1.8866666666666665,0.0063099219620958045
9 Seasons,5.811537466894556,7.815,"(9, 10, 11)",2.21,5,660.7900000000001,658,3.522217194570136,0.011779990617292076
10 Seasons,0.7631348371741732,7.815,"(12, 1, 2)",1.2916666666666667,1,618.7083333333334,619,0.06586021505376347,0.00013749522975729922
10 Seasons,0.7631348371741732,7.815,"(3, 4, 5)",1.1479166666666667,1,549.8520833333333,550,0.01906004234724744,3.9791320140395366e-05
10 Seasons,0.7631348371741732,7.815,"(6, 7, 8)",1.1791666666666667,2,564.8208333333333,564,0.5713928150765606,0.0011928868790742175
10 Seasons,0.7631348371741732,7.815,"(9, 10, 11)",1.38125,1,661.61875,662,0.10523190045248873,0.00021969081514092118
