Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
2015,2.114741884475923,7.815,"(12, 1, 2)",23.332390381895333,28,2038.6676096181047,2034,0.9337482868419856,0.010686675672011592
2015,2.114741884475923,7.815,"(3, 4, 5)",20.514851485148515,17,1792.4851485148515,1796,0.6022066975037274,0.006892208268998185
2015,2.114741884475923,7.815,"(6, 7, 8)",19.915134370579917,17,1740.0848656294202,1743,0.42671107512537015,0.004883674679546167
2015,2.114741884475923,7.815,"(9, 10, 11)",24.237623762376238,26,2117.762376237624,2116,0.12814663819323105,0.0014666281910527986
2016,46.74520103326572,7.815,"(12, 1, 2)",117.45737430885946,156,1944.5426256911405,1906,12.6474306437422,0.763950337493563
2016,46.74520103326572,7.815,"(3, 4, 5)",103.27362736273628,52,1709.7263726372637,1761,25.45649775328161,1.5376640993596626
2016,46.74520103326572,7.815,"(6, 7, 8)",100.25459688826027,89,1659.7454031117397,1671,1.2634428250548395,0.07631649461402971
2016,46.74520103326572,7.815,"(9, 10, 11)",122.01440144014403,146,2019.985598559856,1996,4.715090444112789,0.28480843560703273
2017,15.950927133022123,7.815,"(12, 1, 2)",324.7974797479748,274,1737.2025202520251,1788,7.944593507154518,1.4853673758034658
2017,15.950927133022123,7.815,"(3, 4, 5)",285.5760576057606,323,1527.4239423942395,1490,4.904302818903747,0.9169369586625622
2017,15.950927133022123,7.815,"(6, 7, 8)",277.2277227722772,290,1482.7722772277227,1470,0.5884370579915144,0.11001761233815609
2017,15.950927133022123,7.815,"(9, 10, 11)",337.3987398739874,338,1804.6012601260127,1804,0.0010714732937880252,0.000200328874372799
2018,6.629533002653401,7.815,"(12, 1, 2)",446.7622476533367,408,1615.2377523466632,1654,3.3631128212616463,0.930210949413311
2018,6.629533002653401,7.815,"(3, 4, 5)",392.8127812781278,394,1420.1872187218721,1419,0.003588193563808579,0.0009924665389061554
2018,6.629533002653401,7.815,"(6, 7, 8)",381.3295615275813,404,1378.6704384724185,1356,1.3477811121510674,0.3727858131934509
2018,6.629533002653401,7.815,"(9, 10, 11)",464.09540954095405,479,1677.9045904590457,1663,0.4786662659982208,0.13239538053299038
2019,2.867934728421619,7.815,"(12, 1, 2)",570.8481419570529,543,1491.1518580429472,1519,1.3585382056275772,0.5200805043947635
2019,2.867934728421619,7.815,"(3, 4, 5)",501.9144914491449,509,1311.0855085508551,1304,0.10002586552001816,0.038292263240505435
2019,2.867934728421619,7.815,"(6, 7, 8)",487.24186704384726,489,1272.7581329561528,1271,0.006343936555091216,0.0024286087132135764
2019,2.867934728421619,7.815,"(9, 10, 11)",592.9954995499551,612,1549.004500450045,1530,0.609062020925729,0.23316332344472093
2020,11.38828088622164,7.815,"(12, 1, 2)",532.6678667866786,520,1529.3321332133214,1542,0.3012662466258754,0.10493132619129397
2020,11.38828088622164,7.815,"(3, 4, 5)",468.3447344734473,513,1344.6552655265527,1300,4.257745614432608,1.4829769312404872
2020,11.38828088622164,7.815,"(6, 7, 8)",454.65346534653463,467,1305.3465346534654,1293,0.33528154862524706,0.11677888890224017
2020,11.38828088622164,7.815,"(9, 10, 11)",553.3339333933393,509,1588.666066606661,1633,3.552100334912705,1.237199995291184
