Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",13.758984997660322,7.815,"(12, 1, 2)",2.9165487977369167,0,2059.083451202263,2062,2.916548797736916,0.004131088948636238
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",13.758984997660322,7.815,"(3, 4, 5)",2.5643564356435644,0,1810.4356435643563,1813,2.5643564356435644,0.0036322329116769093
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",13.758984997660322,7.815,"(6, 7, 8)",2.4893917963224896,3,1757.5106082036775,1757,0.10473270541339838,0.00014834660823428127
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",13.758984997660322,7.815,"(9, 10, 11)",3.0297029702970297,8,2138.970297029703,2134,8.153885976832976,0.011549413564919524
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",8.653546229448763,7.815,"(12, 1, 2)",6.628519994856628,7,2055.3714800051434,2055,0.0208187339448924,6.713987985326357e-05
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",8.653546229448763,7.815,"(3, 4, 5)",5.828082808280828,0,1807.171917191719,1813,5.828082808280827,0.018795416693372567
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",8.653546229448763,7.815,"(6, 7, 8)",5.657708628005658,7,1754.3422913719944,1753,0.3184586280056578,0.001027020859151471
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",8.653546229448763,7.815,"(9, 10, 11)",6.885688568856885,11,2135.114311431143,2131,2.458368307418978,0.00792817436603103
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",5.573365033902682,7.815,"(12, 1, 2)",17.764433586215766,16,2044.2355664137842,2046,0.17525050067354375,0.0015229291238816507
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",5.573365033902682,7.815,"(3, 4, 5)",15.619261926192621,9,1797.3807380738074,1804,2.8051663807537914,0.024376932232231394
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",5.573365033902682,7.815,"(6, 7, 8)",15.162659123055164,17,1744.8373408769448,1743,0.2226404663387444,0.0019347485401680774
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",5.573365033902682,7.815,"(9, 10, 11)",18.453645364536456,25,2123.5463546354636,2117,2.3222923258085224,0.020180750431799187
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",7.131548013246609,7.815,"(12, 1, 2)",28.104924778192107,35,2033.895075221808,2027,1.6915918718729048,0.02337488442426408
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",7.131548013246609,7.815,"(3, 4, 5)",24.711071107110712,15,1788.2889288928893,1798,3.8163016746054303,0.05273471222893667
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",7.131548013246609,7.815,"(6, 7, 8)",23.98868458274399,21,1736.011315417256,1739,0.37235203557417745,0.005145263429913405
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",7.131548013246609,7.815,"(9, 10, 11)",29.195319531953196,35,2112.8046804680466,2107,1.154099899446104,0.015947671664878055
"(1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999)",21.523046722545995,7.815,"(12, 1, 2)",59.656679953709656,88,2002.3433200462903,1974,13.466116315386563,0.40120182348542927
"(1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999)",21.523046722545995,7.815,"(3, 4, 5)",52.45274527452745,34,1760.5472547254726,1779,6.491629873412051,0.19340793452300067
"(1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999)",21.523046722545995,7.815,"(6, 7, 8)",50.91937765205092,45,1709.080622347949,1715,0.6881276520509192,0.02050168454865763
"(1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999)",21.523046722545995,7.815,"(9, 10, 11)",61.971197119711974,58,2080.028802880288,2084,0.2544796178964305,0.007581821242942286
"(2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009)",16.19261063269964,7.815,"(12, 1, 2)",192.22707985084222,213,1869.7729201491577,1849,2.244814892147959,0.2307842876924641
"(2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009)",16.19261063269964,7.815,"(3, 4, 5)",169.014401440144,159,1643.985598559856,1654,0.5933709515273188,0.061003111153899774
