Trend,Chi square val,dfThreshold,Parameter,Expected count,Actual count,Expected count no,Actual count no,Significance value yes,Significance value no
United States,57.20617694,11.07,2015,28.84299859,52,59.15700141,36,18.59191973,9.064805546
United States,57.20617694,11.07,2016,145.198277,159,297.801723,284,1.311913354,0.639645589
United States,57.20617694,11.07,2017,401.5076508,369,823.4923492,856,2.631948249,1.283250973
United States,57.20617694,11.07,2018,552.2778706,463,1132.722129,1222,14.43211581,7.036622646
United States,57.20617694,11.07,2019,705.6701813,731,1447.329819,1422,0.909206216,0.443298899
United States,57.20617694,11.07,2020,658.4725473,678,1350.527453,1331,0.579099937,0.282349988
India,174.8364628,11.07,2015,10.44413013,0,77.55586987,88,10.44413013,1.406468064
India,174.8364628,11.07,2016,52.57670053,11,390.4232995,432,32.87810017,4.427558573
India,174.8364628,11.07,2017,145.3870387,143,1079.612961,1082,0.039191621,0.005277775
India,174.8364628,11.07,2018,199.9813553,340,1485.018645,1345,98.03524355,13.20200318
India,174.8364628,11.07,2019,255.5251382,225,1897.474862,1928,3.646545582,0.491065301
India,174.8364628,11.07,2020,238.4347435,192,1770.565257,1817,9.043083949,1.217794935
United Kingdom,37.50184344,11.07,2015,4.480905233,3,83.51909477,85,0.489427961,0.02625843
United Kingdom,37.50184344,11.07,2016,22.5572843,37,420.4427157,406,9.247214072,0.496124749
United Kingdom,37.50184344,11.07,2017,62.37623762,95,1162.623762,1130,17.06274556,0.915437914
United Kingdom,37.50184344,11.07,2018,85.79915134,77,1599.200849,1608,0.902398953,0.048414847
United Kingdom,37.50184344,11.07,2019,109.6294201,107,2043.37058,2046,0.063065644,0.003383552
United Kingdom,37.50184344,11.07,2020,102.2970297,74,1906.70297,1935,7.827420721,0.419951037
Japan,6.88694378,11.07,2015,2.545968883,1,85.45403112,87,0.93874666,0.027968485
Japan,6.88694378,11.07,2016,12.81663881,17,430.1833612,426,1.365452451,0.040681515
Japan,6.88694378,11.07,2017,35.4410441,35,1189.558956,1190,0.005488549,0.000163523
Japan,6.88694378,11.07,2018,48.74951781,39,1636.250482,1646,1.949826414,0.058092021
Japan,6.88694378,11.07,2019,62.28944323,62,2090.710557,2091,0.001344969,4.01E-05
Japan,6.88694378,11.07,2020,58.12331233,70,1950.876688,1939,2.426835366,0.072303755
South Korea,14.2819731,11.07,2015,2.070721358,0,85.92927864,88,2.070721358,0.049900185
South Korea,14.2819731,11.07,2016,10.42419956,9,432.5758004,434,0.19458035,0.004688992
South Korea,14.2819731,11.07,2017,28.82538254,41,1196.174617,1184,5.142041399,0.12391277
South Korea,14.2819731,11.07,2018,39.64960782,25,1645.350392,1660,5.412689331,0.130434836
South Korea,14.2819731,11.07,2019,50.66208049,58,2102.33792,2095,1.062827704,0.025611992
South Korea,14.2819731,11.07,2020,47.27362736,49,1961.726373,1960,0.063044929,0.001519255
Canada,8.153087575,11.07,2015,2.002828854,4,85.99717115,84,1.991529419,0.046381672
Canada,8.153087575,11.07,2016,10.08242253,13,432.9175775,430,0.844267167,0.019662538
Canada,8.153087575,11.07,2017,27.88028803,35,1197.119712,1190,1.818141136,0.04234355
Canada,8.153087575,11.07,2018,38.34962068,32,1646.650379,1653,1.051318945,0.024484665
Canada,8.153087575,11.07,2019,49.00102867,40,2103.998971,2113,1.653404416,0.038506919
Canada,8.153087575,11.07,2020,45.72367237,51,1963.276328,1958,0.608866958,0.014180191
Spain,5.008021375,11.07,2015,1.516265912,0,86.48373409,88,1.516265912,0.026583754
Spain,5.008021375,11.07,2016,7.633020445,11,435.3669796,432,1.485198606,0.02603907
Spain,5.008021375,11.07,2017,21.10711071,24,1203.892889,1201,0.396492374,0.006951456
Spain,5.008021375,11.07,2018,29.03304616,30,1655.966954,1655,0.032204672,0.000564625
Spain,5.008021375,11.07,2019,37.09682397,40,2115.903176,2113,0.227200881,0.003983373
Spain,5.008021375,11.07,2020,34.61566157,28,1974.384338,1981,1.264369247,0.022167405
France,0.801375568,11.07,2015,1.301272984,2,86.69872702,86,0.375186028,0.005631218
France,0.801375568,11.07,2016,6.550726501,8,436.4492735,435,0.320635226,0.004812458
France,0.801375568,11.07,2017,18.11431143,17,1206.885689,1208,0.068547456,0.001028838
France,0.801375568,11.07,2018,24.91642021,25,1660.08358,1660,0.000280361,4.21E-06
France,0.801375568,11.07,2019,31.83682654,31,2121.163173,2122,0.021995869,0.000330139
France,0.801375568,11.07,2020,29.70747075,30,1979.292529,1979,0.002880533,4.32E-05
Egypt,82.99047761,11.07,2015,1.142857143,0,86.85714286,88,1.142857143,0.015037594
Egypt,82.99047761,11.07,2016,5.753246753,0,437.2467532,443,5.753246753,0.075700615
Egypt,82.99047761,11.07,2017,15.90909091,0,1209.090909,1225,15.90909091,0.209330144
Egypt,82.99047761,11.07,2018,21.88311688,1,1663.116883,1684,19.92881421,0.26222124
Egypt,82.99047761,11.07,2019,27.96103896,53,2125.038961,2100,22.42225587,0.295029682
Egypt,82.99047761,11.07,2020,26.09090909,47,1982.909091,1962,16.75641432,0.220479136
Mexico,13.56039953,11.07,2015,1.131541726,1,86.86845827,87,0.015291726,0.000199189
Mexico,13.56039953,11.07,2016,5.696283914,8,437.3037161,435,0.931678948,0.012135977
Mexico,13.56039953,11.07,2017,15.75157516,28,1209.248425,1197,9.524375158,0.124063764
Mexico,13.56039953,11.07,2018,21.66645236,17,1663.333548,1668,1.005045831,0.013091648
Mexico,13.56039953,11.07,2019,27.68419699,26,2125.315803,2127,0.10245988,0.001334634
Mexico,13.56039953,11.07,2020,25.83258326,19,1983.167417,1990,1.807182561,0.023540218
Turkey,67.95576477,11.07,2015,1.131541726,0,86.86845827,88,1.131541726,0.014739374
Turkey,67.95576477,11.07,2016,5.696283914,3,437.3037161,440,1.276261341,0.01662448
Turkey,67.95576477,11.07,2017,15.75157516,44,1209.248425,1181,50.65991801,0.65989212
Turkey,67.95576477,11.07,2018,21.66645236,5,1663.333548,1680,12.82030993,0.166996352
Turkey,67.95576477,11.07,2019,27.68419699,22,2125.315803,2131,1.167095273,0.015202492
Turkey,67.95576477,11.07,2020,25.83258326,25,1983.167417,1984,0.026834129,0.000349539
Australia,4.483416724,11.07,2015,0.927864215,1,87.07213579,87,0.005608117,5.98E-05
Australia,4.483416724,11.07,2016,4.67095281,7,438.3290472,436,1.161317837,0.012375317
Australia,4.483416724,11.07,2017,12.91629163,13,1212.083708,1212,0.0005425,5.78E-06
Australia,4.483416724,11.07,2018,17.76649093,24,1667.233509,1661,2.187074274,0.023306055
Australia,4.483416724,11.07,2019,22.70104153,19,2130.298958,2134,0.603395593,0.006429947
Australia,4.483416724,11.07,2020,21.18271827,18,1987.817282,1991,0.478205652,0.005095889
Taiwan,148.1451951,11.07,2015,0.882602546,0,87.11739745,88,0.882602546,0.00894181
Taiwan,148.1451951,11.07,2016,4.443101453,29,438.5568985,414,135.7252974,1.375058215
Taiwan,148.1451951,11.07,2017,12.28622862,11,1212.713771,1214,0.134653531,0.0013642
Taiwan,148.1451951,11.07,2018,16.89983284,8,1668.100167,1677,4.686852547,0.047483374
Taiwan,148.1451951,11.07,2019,21.59367365,20,2131.406326,2133,0.117617583,0.001191606
Taiwan,148.1451951,11.07,2020,20.14941494,10,1988.850585,1999,5.112338197,0.051794048
Brazil,3.417201793,11.07,2015,0.814710042,0,87.18528996,88,0.814710042,0.007613124
Brazil,3.417201793,11.07,2016,4.101324418,2,438.8986756,441,1.076619126,0.010060555
Brazil,3.417201793,11.07,2017,11.34113411,13,1213.658866,1212,0.24264205,0.002267388
Brazil,3.417201793,11.07,2018,15.5998457,15,1669.400154,1670,0.023065283,0.000215535
Brazil,3.417201793,11.07,2019,19.93262183,18,2133.067378,2135,0.187382632,0.001751012
Brazil,3.417201793,11.07,2020,18.59945995,23,1990.40054,1986,1.04114597,0.009729073
