Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV,64.73197995080146,11.07,2015,26.138613861386137,30,61.86138613861386,58,0.570432043204321,0.24102762388914925
TV,64.73197995080146,11.07,2016,131.58415841584159,181,311.4158415841584,262,18.55789806971668,7.841365381570419
TV,64.73197995080146,11.07,2017,363.86138613861385,349,861.138613861386,876,0.6069915807907315,0.25647531582707356
TV,64.73197995080146,11.07,2018,500.4950495049505,409,1184.5049504950493,1276,16.726127645405487,7.067377878340373
TV,64.73197995080146,11.07,2019,639.5049504950495,634,1513.4950495049504,1519,0.047387404787853714,0.02002284709346014
TV,64.73197995080146,11.07,2020,596.7326732673267,670,1412.2673267326732,1339,8.9958224294306,3.8010517307453116
Movies,70.2841684565483,11.07,2015,44.548797736916555,34,43.451202263083445,54,2.497870635062348,2.5609678880834545
Movies,70.2841684565483,11.07,2016,224.26269769834127,152,218.73730230165873,291,23.2847349658921,23.872917073103437
Movies,70.2841684565483,11.07,2017,620.1395139513952,636,604.8604860486048,589,0.4056426207953322,0.41588932241438104
Movies,70.2841684565483,11.07,2018,853.0082293943681,938,831.9917706056319,747,8.468383799543274,8.682298702812988
Movies,70.2841684565483,11.07,2019,1089.926835540697,1085,1063.073164459303,1068,0.022270952190138606,0.022833525722024926
Movies,70.2841684565483,11.07,2020,1017.0288028802881,1012,991.9711971197119,997,0.024865429904418333,0.025493541024399737
Action & Adventure,20.455413298773315,11.07,2015,9.844413012729845,4,78.15558698727015,84,3.4697003690516843,0.43704058506948973
Action & Adventure,20.455413298773315,11.07,2016,49.55767005271956,28,393.4423299472804,415,9.377622830281116,1.1811976056673783
Action & Adventure,20.455413298773315,11.07,2017,137.03870387038705,123,1087.961296129613,1102,1.438171850682608,0.18115093529663662
Action & Adventure,20.455413298773315,11.07,2018,188.4981355278385,199,1496.5018644721615,1486,0.5850941553496666,0.07369797526483461
Action & Adventure,20.455413298773315,11.07,2019,240.85251382281086,269,1912.1474861771892,1884,3.2894860241231063,0.4143409354259612
Action & Adventure,20.455413298773315,11.07,2020,224.74347434743476,226,1784.2565256525654,1783,0.007025150430458024,0.0008848821303750022
Dramas,34.5131255099737,11.07,2015,31.785007072135784,21,56.21499292786422,67,3.6594730742717756,2.0691344335002824
Dramas,34.5131255099737,11.07,2016,160.008615147229,112,282.99138485277103,331,14.404393952375631,8.144513408257465
Dramas,34.5131255099737,11.07,2017,442.4617461746174,429,782.5382538253826,796,0.4095689890404871,0.2315779569675359
Dramas,34.5131255099737,11.07,2018,608.6106467789635,652,1076.3893532210366,1033,3.093333944950862,1.7490287945585776
Dramas,34.5131255099737,11.07,2019,777.6490934807766,790,1375.3509065192236,1363,0.19616160183997602,0.1109134338906024
