Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
United States,9.56046011182566,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",594.2313231323133,622,1218.7686768676867,1191,1.2976418188751475,0.6326872601975423
United States,9.56046011182566,5.991,"(2018, 2019)",1257.948051948052,1194,2580.051948051948,2644,3.2508125765749964,1.584988763903926
United States,9.56046011182566,5.991,"(2020, 2021)",696.8206249196348,733,1429.1793750803652,1393,1.8784564267980877,0.9158732654759613
India,60.09716000813727,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",215.1728172817282,154,1597.8271827182718,1659,17.391200345181666,2.3420014471261545
India,60.09716000813727,5.991,"(2018, 2019)",455.50649350649354,565,3382.4935064935066,3273,26.319773999166124,3.544375751565569
India,60.09716000813727,5.991,"(2020, 2021)",252.32068921177833,204,1873.6793107882218,1922,9.25365657962969,1.246151885468073
United Kingdom,31.005539308313654,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",92.31683168316832,135,1720.6831683168318,1678,19.73478535112198,1.0587962334432133
United Kingdom,31.005539308313654,5.991,"(2018, 2019)",195.42857142857144,184,3642.5714285714284,3654,0.6683375104427755,0.035857154062504316
United Kingdom,31.005539308313654,5.991,"(2020, 2021)",108.25459688826027,77,2017.7454031117397,2049,9.023633681403357,0.48412937783982246
Japan,2.4488968380264833,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",52.45274527452745,53,1760.5472547254726,1760,0.005709667491845733,0.00017011059132224446
Japan,2.4488968380264833,5.991,"(2018, 2019)",111.03896103896103,101,3726.961038961039,3737,0.907616009721272,0.027040996052342458
Japan,2.4488968380264833,5.991,"(2020, 2021)",61.50829368651151,71,2064.4917063134885,2055,1.4647209886961015,0.043639065473599685
South Korea,1.8989791727741898,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",42.66156615661566,50,1770.3384338433843,1763,1.2623214786824584,0.030419387753343415
South Korea,1.8989791727741898,5.991,"(2018, 2019)",90.31168831168831,83,3747.6883116883114,3755,0.5919586596894625,0.014265003255620292
South Korea,1.8989791727741898,5.991,"(2020, 2021)",50.02674553169603,50,2075.973254468304,2076,1.429882072280916e-05,3.44572582605119e-07
Canada,6.9282660895165495,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",41.26282628262826,54,1771.7371737173717,1759,3.931761561733035,0.09156865742457088
Canada,6.9282660895165495,5.991,"(2018, 2019)",87.35064935064935,72,3750.6493506493507,3766,2.6976609474379316,0.06282710364427767
Canada,6.9282660895165495,5.991,"(2020, 2021)",48.386524366722384,51,2077.6134756332776,2075,0.1411602708632099,0.0032875484135247925
Spain,2.3091264159799043,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",31.238523852385242,35,1781.7614761476148,1778,0.452924820517549,0.007940851229798714
Spain,2.3091264159799043,5.991,"(2018, 2019)",66.12987012987014,70,3771.87012987013,3768,0.22649228226604362,0.003970949342359002
Spain,2.3091264159799043,5.991,"(2020, 2021)",36.63160601774464,29,2089.3683939822554,2097,1.5899223851081923,0.027875127515961873
France,0.021738973293581376,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",26.809180918091812,27,1786.1908190819083,1786,0.0013581885299491453,2.0385236354004743e-05
France,0.021738973293581376,5.991,"(2018, 2019)",56.753246753246756,56,3781.2467532467535,3782,0.009997325329133193,0.00015005121545933256
France,0.021738973293581376,5.991,"(2020, 2021)",31.43757232866144,32,2094.562427671339,2094,0.010062001040675943,0.0001510219420097568
Egypt,38.00199210587078,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",23.545454545454547,0,1789.4545454545455,1813,23.545454545454547,0.3098086124401903
Egypt,38.00199210587078,5.991,"(2018, 2019)",49.84415584415585,54,3788.155844155844,3784,0.3465008154950823,0.0045592212565140865
Egypt,38.00199210587078,5.991,"(2020, 2021)",27.61038961038961,47,2098.3896103896104,2079,13.616504379909836,0.17916453131460375
Mexico,10.964017797786756,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",23.312331233123313,37,1789.6876687668766,1776,8.036616947409026,0.10468434215720947
Mexico,10.964017797786756,5.991,"(2018, 2019)",49.35064935064935,43,3788.6493506493507,3795,0.8172282980177711,0.010645151726165905
Mexico,10.964017797786756,5.991,"(2020, 2021)",27.337019416227335,20,2098.662980583773,2106,1.969192511241447,0.02565054723513524
Turkey,34.703160902687436,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",23.312331233123313,47,1789.6876687668766,1766,24.06904937984146,0.3135215498220837
Turkey,34.703160902687436,5.991,"(2018, 2019)",49.35064935064935,27,3788.6493506493507,3811,10.122491455912506,0.1318547799389404
Turkey,34.703160902687436,5.991,"(2020, 2021)",27.337019416227335,26,2098.662980583773,2100,0.06539194680118443,0.0008517903712539216
Australia,1.2271661820967754,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",19.116111611161116,21,1793.8838883888388,1792,0.1856567660721246,0.0019784086832896073
Australia,1.2271661820967754,5.991,"(2018, 2019)",40.467532467532465,43,3797.5324675324673,3795,0.15848240334761554,0.0016888313287202262
Australia,1.2271661820967754,5.991,"(2020, 2021)",22.416355921306415,18,2103.5836440786934,2108,0.870087881015477,0.009271891649548433
Taiwan,35.40323799413685,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",18.18361836183618,40,1794.8163816381639,1773,26.174906353124182,0.2651828413487072
Taiwan,35.40323799413685,5.991,"(2018, 2019)",38.493506493506494,28,3799.5064935064934,3810,2.8605780184727556,0.028981047595906053
Taiwan,35.40323799413685,5.991,"(2020, 2021)",21.32287514465732,10,2104.6771248553428,2116,6.012674213572101,0.060915520023200095
Brazil,1.329604858819428,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",16.784878487848786,15,1796.2151215121512,1798,0.18980126777156506,0.0017736134042249064
Brazil,1.329604858819428,5.991,"(2018, 2019)",35.532467532467535,33,3802.4675324675327,3805,0.18049384825700657,0.0016866394645687396
Brazil,1.329604858819428,5.991,"(2020, 2021)",19.682653979683682,24,2106.3173460203166,2102,0.947000169711905,0.008849320210157677
