Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV,24.028505116363668,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",538.5148514851485,570,1274.4851485148515,1243,1.8408305254132733,0.7778157149633548
TV,24.028505116363668,5.991,"(2018, 2019)",1140.0,1043,2698.0,2795,8.253508771929825,3.4873980726464047
TV,24.028505116363668,5.991,"(2020, 2021)",631.4851485148514,697,1494.5148514851485,1429,6.7969860814868115,2.871965949923995
Movies,19.396813933012726,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",917.8064806480648,842,895.1935193519352,971,6.261257279625798,6.4194192473663465
Movies,19.396813933012726,5.991,"(2018, 2019)",1942.9350649350652,2023,1895.0649350649348,1815,3.299335084657847,3.382677663619257
Movies,19.396813933012726,5.991,"(2020, 2021)",1076.2584544168703,1072,1049.7415455831297,1054,0.016849515974662357,0.017275141768813985
Action & Adventure,16.401524320000735,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",202.81728172817282,156,1610.1827182718273,1657,10.807056724844365,1.3612479152475099
Action & Adventure,16.401524320000735,5.991,"(2018, 2019)",429.35064935064935,468,3408.6493506493507,3370,3.479142998562237,0.4382299708627703
Action & Adventure,16.401524320000735,5.991,"(2020, 2021)",237.83206892117784,246,1888.1679310788222,1880,0.28051346654390696,0.035333243939945344
Dramas,15.971053331269108,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",654.8433843384338,584,1158.1566156615663,1229,7.664099881826486,4.33342523511484
Dramas,15.971053331269108,5.991,"(2018, 2019)",1386.2597402597403,1442,2451.74025974026,2396,2.2412658073222778,1.2672535532947626
Dramas,15.971053331269108,5.991,"(2020, 2021)",767.8968754018258,783,1358.1031245981742,1343,0.297050788894813,0.16795806481592787
International,25.497133990205917,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",847.4032403240324,819,965.5967596759675,994,0.9520190890422525,0.835487539514393
International,25.497133990205917,5.991,"(2018, 2019)",1793.8961038961038,1901,2044.103896103896,1937,6.394598068260572,5.611869622918175
International,25.497133990205917,5.991,"(2020, 2021)",993.7006557798637,915,1132.2993442201362,1211,6.2330573942508485,5.470102276219678
Sci-Fi & Fantasy,7.47238499246541,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",68.30513051305131,49,1744.6948694869488,1764,5.456223585646087,0.2136121740505448
Sci-Fi & Fantasy,7.47238499246541,5.991,"(2018, 2019)",144.5974025974026,159,3693.4025974025976,3679,1.4345680365978533,0.05616360699133943
Sci-Fi & Fantasy,7.47238499246541,5.991,"(2020, 2021)",80.0974668895461,85,2045.902533110454,2041,0.3000698003626094,0.011747788816975895
Horror,14.938059005134292,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",88.81998199819982,59,1724.1800180018001,1754,10.011613449673792,0.515741579816891
Horror,14.938059005134292,5.991,"(2018, 2019)",188.02597402597402,216,3649.974025974026,3622,4.161904403097939,0.21439772547056848
Horror,14.938059005134292,5.991,"(2020, 2021)",104.15404397582616,106,2021.8459560241738,2020,0.0327164794866207,0.0016853675884805181
Thriller,7.588418354402648,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",126.11971197119712,100,1686.8802880288029,1713,5.4094585437533045,0.4044385119085882
Thriller,7.588418354402648,5.991,"(2018, 2019)",266.987012987013,283,3571.012987012987,3555,0.9604053403547533,0.07180476632558493
Thriller,7.588418354402648,5.991,"(2020, 2021)",147.8932750417899,158,1978.1067249582102,1968,0.690672982608869,0.05163820945154843
Crime,0.39774774528462004,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",99.31053105310531,94,1713.6894689468947,1719,0.28397532232422734,0.016456738853233337
Crime,0.39774774528462004,5.991,"(2018, 2019)",210.23376623376623,213,3627.7662337662337,3625,0.03639781271360223,0.0021093005327157224
