Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV-MA,5.9295439737274815,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",666.965796579658,669,1146.0342034203422,1144,0.006204191544081554,0.0036106981301101083
TV-MA,5.9295439737274815,5.991,"(2018, 2019)",1411.922077922078,1454,2426.0779220779223,2384,1.2540008787180346,0.7297999418251293
TV-MA,5.9295439737274815,5.991,"(2020, 2021)",782.112125498264,738,1343.887874501736,1388,2.4879803707619623,1.4479478927481637
R,49.0681421160708,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",155.02700270027003,84,1657.97299729973,1729,32.541654193868894,3.0427727838755363
R,49.0681421160708,5.991,"(2018, 2019)",328.1818181818182,357,3509.818181818182,3481,2.530571644422059,0.23661841163395517
R,49.0681421160708,5.991,"(2020, 2021)",181.79117911791178,224,1944.2088208820883,1902,9.800170552283237,0.9163545299871161
PG-13,57.88598209789437,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",89.98559855985599,34,1723.014401440144,1779,34.83209864987939,1.8191300336697975
PG-13,57.88598209789437,5.991,"(2018, 2019)",190.4935064935065,201,3647.5064935064934,3637,0.5794759508285559,0.03026352550667251
PG-13,57.88598209789437,5.991,"(2020, 2021)",105.52089494663753,151,2020.4791050533624,1975,19.60132159133748,1.0236923466724743
TV-14,6.18155062444786,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",449.4617461746175,466,1363.5382538253825,1347,0.6085364147686968,0.20059124767892758
TV-14,6.18155062444786,5.991,"(2018, 2019)",951.4805194805195,977,2886.5194805194806,2861,0.6844531996721304,0.22561562129729512
TV-14,6.18155062444786,5.991,"(2020, 2021)",527.0577343448631,485,1598.942265655137,1641,3.3560896709385637,1.1062644700922468
TV-PG,43.869830278108374,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",187.43114311431142,248,1625.5688568856885,1565,19.57298218152364,2.2568016167997977
TV-PG,43.869830278108374,5.991,"(2018, 2019)",396.7792207792208,402,3441.220779220779,3436,0.06869446343130517,0.007920600688192765
TV-PG,43.869830278108374,5.991,"(2020, 2021)",219.78963610646778,154,1906.210363893532,1972,19.69281307206314,2.2706183436022993
NR,138.9845211927033,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",19.34923492349235,64,1793.6507650765077,1749,103.03719138253315,1.1115267591305262
NR,138.9845211927033,5.991,"(2018, 2019)",40.961038961038966,19,3797.0389610389607,3819,11.774291973087157,0.12701666672293552
NR,138.9845211927033,5.991,"(2020, 2021)",22.68972611546869,0,2103.3102738845314,2126,22.68972611546869,0.2447682957608379
TV-G,12.108023655865871,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",45.22592259225923,42,1767.7740774077408,1771,0.23010202942835448,0.005886824964934591
TV-G,12.108023655865871,5.991,"(2018, 2019)",95.74025974025975,78,3742.2597402597403,3760,3.2871940864344573,0.08409806841201142
TV-G,12.108023655865871,5.991,"(2020, 2021)",53.03381766748104,74,2072.966182332519,2052,8.288688631781637,0.21205401484447586
TV-Y,40.504602971934524,5.991,"(2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)",65.04140414041403,58,1747.958595859586,1755,0.7623047645404698,0.028365301321257464
TV-Y,40.504602971934524,5.991,"(2018, 2019)",137.68831168831167,99,3700.311688311688,3739,10.870824421758199,0.40450253583229717
TV-Y,40.504602971934524,5.991,"(2020, 2021)",76.27028417127427,122,2049.7297158287256,2004,27.418370502985766,1.0202354454965306
