Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
TV-MA,6.5086071263464795,11.07,2015,32.373408769448375,29,55.62659123055163,59,0.35151956986780747,0.20457638108051115
TV-MA,6.5086071263464795,11.07,2016,162.97068278256396,163,280.0293172174361,280,5.273950035167288e-06,3.069318765387075e-06
TV-MA,6.5086071263464795,11.07,2017,450.65256525652563,455,774.3474347434744,770,0.04193960116039602,0.024407892375894254
TV-MA,6.5086071263464795,11.07,2018,619.8772020059149,661,1065.1227979940852,1024,2.728095999320511,1.5876897180748626
TV-MA,6.5086071263464795,11.07,2019,792.044875916163,793,1360.955124083837,1360,0.0011517807175637027,0.0006703101368898571
TV-MA,6.5086071263464795,11.07,2020,739.070207020702,712,1269.929792979298,1297,0.9915108215465358,0.5770367087967077
R,51.551866941794316,11.07,2015,7.524752475247524,3,80.47524752475248,85,2.720805106826472,0.25440598931940434
R,51.551866941794316,11.07,2016,37.88028802880288,14,405.11971197119715,429,15.054483110185798,1.4076534404209127
R,51.551866941794316,11.07,2017,104.74797479747974,66,1120.2520252025204,1159,14.333504335610785,1.340239086499032
R,51.551866941794316,11.07,2018,144.08190819081906,131,1540.918091809181,1554,1.18777106759559,0.11106127108423086
R,51.551866941794316,11.07,2019,184.0999099909991,226,1968.900090009001,1927,9.536221624704826,0.8916742660895259
R,51.551866941794316,11.07,2020,171.78667866786677,199,1837.2133213321333,1810,4.310956260803841,0.4030913826539048
PG-13,70.94048629705783,11.07,2015,4.367751060820368,2,83.63224893917963,86,1.2835541696286579,0.06703448917286725
PG-13,70.94048629705783,11.07,2016,21.987655908447987,6,421.012344091552,437,11.624938215843395,0.6071203018963011
PG-13,70.94048629705783,11.07,2017,60.8010801080108,26,1164.1989198919891,1199,19.919303646130714,1.0402991756739932
PG-13,70.94048629705783,11.07,2018,83.63250610775363,55,1601.3674938922463,1630,9.80265263071607,0.5119501982757967
PG-13,70.94048629705783,11.07,2019,106.86100038575286,146,2046.138999614247,2007,14.335082820432511,0.7486594464466136
PG-13,70.94048629705783,11.07,2020,99.71377137713772,132,1909.2862286228622,1877,10.453927720225938,0.5459634826149614
TV-14,17.653723638417773,11.07,2015,21.816124469589816,15,66.18387553041018,73,2.12959697996326,0.7019769152622969
TV-14,17.653723638417773,11.07,2016,109.82435386395782,103,333.1756461360422,340,0.42405717877662863,0.13978154226044395
TV-14,17.653723638417773,11.07,2017,303.6903690369037,339,921.3096309630963,886,4.1053986753150715,1.3532584452055836
TV-14,17.653723638417773,11.07,2018,417.7292014915777,458,1267.2707985084223,1227,3.8822691990773914,1.2797084998839514
TV-14,17.653723638417773,11.07,2019,533.7513179889418,519,1619.2486820110582,1634,0.4076830821341132,0.13438416521705765
TV-14,17.653723638417773,11.07,2020,498.05220522052207,464,1510.9477947794778,1545,2.3281749748846843,0.7674339804372887
TV-PG,43.587362704371536,11.07,2015,9.097595473833097,8,78.9024045261669,80,0.1324213444798637,0.015268429795182859
TV-PG,43.587362704371536,11.07,2016,45.7981226694098,53,397.2018773305902,390,1.1325144801079996,0.13058104718296765
TV-PG,43.587362704371536,11.07,2017,126.64266426642665,177,1098.3573357335733,1048,20.02375168646928,2.308776187569381
TV-PG,43.587362704371536,11.07,2018,174.1982769705542,193,1510.8017230294458,1492,2.0293242563802627,0.2339848992011668
TV-PG,43.587362704371536,11.07,2019,222.58094380866658,209,1930.4190561913333,1944,0.8286515079777346,0.09554507563661406
TV-PG,43.587362704371536,11.07,2020,207.6939693969397,152,1801.3060306030602,1857,14.934560864688066,1.721982924883012
NR,183.23466245303518,11.07,2015,0.9391796322489392,5,87.06082036775106,83,17.558155535863403,0.1894108278498393
NR,183.23466245303518,11.07,2016,4.727915648707728,28,438.2720843512923,415,114.5515170520638,1.235739006410359
NR,183.23466245303518,11.07,2017,13.073807380738074,26,1211.9261926192619,1199,12.780244558018621,0.137868507709324
NR,183.23466245303518,11.07,2018,17.983155458402983,14,1667.016844541597,1671,0.8822437998995332,0.009517316791221793
NR,183.23466245303518,11.07,2019,22.97788350263598,5,2130.022116497364,2148,14.065886233485061,0.15173753020265798
NR,183.23466245303518,11.07,2020,21.44104410441044,0,1987.5589558955894,2009,21.44104410441044,0.23129798033091917
TV-G,28.2975071391685,11.07,2015,2.1951909476661955,8,85.80480905233381,80,15.349830122923924,0.3927030256952718
TV-G,28.2975071391685,11.07,2016,11.050790793365051,9,431.949209206635,434,0.3805829787924322,0.009736660673312662
TV-G,28.2975071391685,11.07,2017,30.55805580558056,23,1194.4419441944194,1202,1.8693665566851236,0.047825018066321515
TV-G,28.2975071391685,11.07,2018,42.032917577472034,37,1642.967082422528,1648,0.6026291012262012,0.015417387002226607
TV-G,28.2975071391685,11.07,2019,53.70734216278771,41,2099.2926578372126,2112,3.0066009290261393,0.07691950154701897
TV-G,28.2975071391685,11.07,2020,50.11521152115212,68,1958.884788478848,1941,6.382606183316701,0.16328967421382595
TV-Y,50.91581230622494,11.07,2015,3.1570014144271568,8,84.84299858557284,80,7.429402848118914,0.2764475052847662
TV-Y,50.91581230622494,11.07,2016,15.892632120354891,11,427.1073678796451,432,1.5062230651189235,0.056046443740755104
TV-Y,50.91581230622494,11.07,2017,43.94689468946894,37,1181.053105310531,1188,1.0981286884448795,0.04086128355243075
TV-Y,50.91581230622494,11.07,2018,60.44940208306544,41,1624.5505979169345,1644,6.257783011136237,0.2328516217800769
TV-Y,50.91581230622494,11.07,2019,77.23890960524623,58,2075.761090394754,2095,4.792087882785122,0.17831321943145306
TV-Y,50.91581230622494,11.07,2020,72.07290729072906,117,1936.927092709271,1892,28.005581225763372,1.0420855110680154
