Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
1 Season,34.55287826217757,11.07,2015,20.1,14,9.899999999999999,16,1.851243781094528,3.7585858585858607
1 Season,34.55287826217757,11.07,2016,123.95,144,61.04999999999999,41,3.243263412666397,6.5848075348075294
1 Season,34.55287826217757,11.07,2017,241.87,258,119.12999999999998,103,1.0756890064910898,2.183974649542512
1 Season,34.55287826217757,11.07,2018,288.1,303,141.89999999999998,127,0.7706004859423786,1.5645525017617994
1 Season,34.55287826217757,11.07,2019,439.52000000000004,447,216.47999999999996,209,0.1272988714961763,0.2584552845528429
1 Season,34.55287826217757,11.07,2020,466.99,422,230.00999999999996,275,4.334354268828028,8.800052606408432
2 Seasons,11.170157783940182,11.07,2015,4.725,6,25.275000000000002,24,0.34404761904761927,0.06431750741839784
2 Seasons,11.170157783940182,11.07,2016,29.1375,20,155.8625,165,2.8655137280137275,0.5356895099847608
2 Seasons,11.170157783940182,11.07,2017,56.8575,45,304.1425,316,2.4728541749109625,0.4622843116302404
2 Seasons,11.170157783940182,11.07,2018,67.725,63,362.27500000000003,367,0.3296511627906969,0.06162618176799303
2 Seasons,11.170157783940182,11.07,2019,103.32000000000001,116,552.6800000000001,540,1.5561595044521856,0.29091409133676194
2 Seasons,11.170157783940182,11.07,2020,109.7775,124,587.2225,573,1.8426317437544115,0.3444682488324257
3 Seasons,6.20595156492547,11.07,2015,2.2875,1,27.7125,29,0.7246584699453553,0.059816193053676275
3 Seasons,6.20595156492547,11.07,2016,14.10625,9,170.89374999999998,176,1.8483855782011516,0.15257309914786338
3 Seasons,6.20595156492547,11.07,2017,27.52625,23,333.47375,338,0.7442691635257258,0.06143493771998558
3 Seasons,6.20595156492547,11.07,2018,32.7875,28,397.2125,402,0.6990516584064053,0.05770250495641557
3 Seasons,6.20595156492547,11.07,2019,50.019999999999996,58,605.98,598,1.273098760495803,0.10508663652265798
3 Seasons,6.20595156492547,11.07,2020,53.14625,58,643.85375,639,0.44328412752546,0.03659043542497021
4 Seasons,30.835439485304068,11.07,2015,1.075,2,28.924999999999997,28,0.7959302325581397,0.029580812445980806
4 Seasons,30.835439485304068,11.07,2016,6.629166666666667,3,178.37083333333334,182,1.9868033731405828,0.07383971049701371
4 Seasons,30.835439485304068,11.07,2017,12.935833333333335,15,348.06416666666667,346,0.32937839549915127,0.012241375113624465
4 Seasons,30.835439485304068,11.07,2018,15.408333333333333,10,414.59166666666664,420,1.8983279250045069,0.07055151320241539
4 Seasons,30.835439485304068,11.07,2019,23.506666666666668,8,632.4933333333333,648,10.229298544148232,0.38017272030974386
4 Seasons,30.835439485304068,11.07,2020,24.975833333333334,44,672.0241666666666,653,14.490764433396727,0.5385504499879467
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",23.69547977153273,11.07,2015,1.7125,7,28.287499999999998,23,16.325638686131384,0.9883395934600081
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",23.69547977153273,11.07,2016,10.560416666666667,9,174.43958333333333,176,0.23056857039521278,0.013958415441513133
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",23.69547977153273,11.07,2017,20.607083333333332,18,340.3929166666667,343,0.3298323880677487,0.0199677583584981
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",23.69547977153273,11.07,2018,24.545833333333334,24,405.45416666666665,406,0.012137865670797304,0.0007348155532034102
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",23.69547977153273,11.07,2019,37.446666666666665,25,618.5533333333333,631,4.137070796985341,0.2504545732156413
"('5 Seasons', '6 Seasons', '7 Seasons', '8 Seasons', '9 Seasons', '10 Seasons')",23.69547977153273,11.07,2020,39.787083333333335,47,657.2129166666666,650,1.3076144939905812,0.07916181426279592
